order_id,customer_id,placed_at,amount_cents,currency,status
1000,16,2024-04-17 12:15:00,34273,USD,paid
1001,10,2024-02-13 06:04:00,-74491,EUR,void
1002,25,2024-03-08 05:23:00,9054,JPY,pending
1003,6,2024-06-28 10:00:00,3211,JPY,paid
1004,12,2024-06-08 03:04:00,88493,EUR,paid
1005,18,2024-04-29 11:19:00,64909,EUR,settled
1006,7,2024-04-09 03:03:00,77542,GBP,void
1007,26,2024-05-28 18:48:00,69084,GBP,paid
1008,23,2024-01-29 17:32:00,-45364,JPY,settled
1009,20,2024-06-24 21:59:00,20488,JPY,void
1010,15,2024-06-19 19:56:00,60891,JPY,paid
1011,1,2024-01-18 01:33:00,87109,JPY,paid
1012,4,2024-06-22 15:39:00,32495,GBP,paid
1013,12,2024-05-27 14:45:00,33003,GBP,settled
1014,13,2024-05-13 01:16:00,46323,EUR,void
1015,4,2024-03-09 18:46:00,19921,EUR,settled
1016,16,2024-05-09 23:19:00,8779,USD,paid
1017,16,2024-04-07 21:33:00,76826,EUR,paid
1018,19,2024-02-28 12:59:00,6545,USD,pending
1019,6,2024-01-14 14:13:00,18907,GBP,void
1020,23,2024-02-14 16:20:00,81633,EUR,paid
1021,2,2024-01-30 02:52:00,43193,GBP,paid
1022,3,2024-02-15 05:32:00,81940,USD,void
1023,21,2024-02-19 16:55:00,83723,GBP,void
1024,1,2024-01-25 03:43:00,59121,EUR,pending
1025,11,2024-06-26 22:19:00,1489,GBP,paid
1026,7,2024-05-02 12:45:00,63221,USD,settled
1027,5,2024-02-24 07:11:00,41335,GBP,pending
1028,1,2024-01-28 21:55:00,-55653,JPY,void
1029,24,2024-01-12 21:31:00,36964,JPY,settled
1030,24,2024-02-04 23:34:00,46011,JPY,settled
1031,2,2024-02-28 11:08:00,53911,GBP,paid
1032,23,2024-06-10 09:59:00,59739,JPY,paid
1033,23,2024-05-08 11:51:00,46461,JPY,pending
1034,14,2024-04-25 08:38:00,25012,EUR,paid
1035,5,2024-04-21 17:15:00,80005,EUR,pending
1035,5,2024-04-23 09:15:00,79611,EUR,pending
1036,12,2024-01-04 10:19:00,1630,USD,pending
1037,14,2024-04-25 17:33:00,44778,EUR,pending
1038,3,2024-02-27 17:39:00,20417,JPY,paid
1039,15,2024-05-26 01:15:00,46461,EUR,void
1040,2,2024-04-06 23:27:00,76726,JPY,paid
1041,27,2024-05-04 01:22:00,60363,GBP,void
1042,7,2024-03-14 07:05:00,64470,EUR,settled
1043,10,2024-03-25 06:36:00,69526,GBP,paid
1044,18,2024-06-22 03:44:00,48673,EUR,void
1045,27,2024-03-01 02:21:00,61640,EUR,settled
1046,6,2024-05-25 03:45:00,61694,JPY,pending
1047,10,2024-03-27 10:03:00,42936,EUR,paid
1048,13,2024-01-27 13:54:00,89261,EUR,paid
1049,24,2024-03-08 07:38:00,54672,USD,paid
1050,18,2024-02-24 18:25:00,2494,GBP,pending
1051,9,2024-05-28 05:27:00,73167,JPY,pending
1052,19,2024-01-12 05:19:00,23263,USD,settled
1053,24,2024-01-20 22:27:00,81718,JPY,paid
1054,23,2024-04-15 17:36:00,61782,USD,pending
1055,21,2024-02-13 11:52:00,58747,JPY,void
1056,1,2024-04-03 00:43:00,65386,EUR,void
1057,4,2024-03-02 18:37:00,43871,GBP,paid
1058,8,2024-01-19 11:33:00,45933,JPY,paid
1059,17,2024-04-16 22:47:00,35475,EUR,void
1060,12,2024-04-08 03:56:00,10162,USD,paid
1061,5,2024-06-11 00:24:00,7921,EUR,settled
1062,11,2024-04-03 20:58:00,27882,EUR,settled
