refund_id,order_id,refunded_at,amount_cents
5000,1003,2024-08-09 09:00:00,1605
5001,1011,2024-02-10 22:33:00,87109
5002,1012,2024-08-01 03:39:00,10831
5003,1013,2024-06-28 09:45:00,33003
5004,1015,2024-03-26 04:46:00,19921
5005,1016,2024-06-23 04:19:00,8779
5006,1026,2024-05-05 09:45:00,63221
5007,1039,2024-06-26 13:15:00,46461
5008,1045,2024-04-09 04:21:00,61640
5009,1046,2024-06-09 21:45:00,61694
5010,1061,2024-06-28 13:24:00,7921
5011,1063,2024-02-20 06:35:00,1846
5012,1066,2024-02-29 17:13:00,13257
5013,1073,2024-04-17 04:50:00,769
5014,1074,2024-04-20 03:55:00,28462
5015,1079,2024-05-09 04:06:00,53121
5016,1080,2024-03-10 00:25:00,23545
5017,1086,2024-05-02 01:41:00,40150
5018,1087,2024-03-13 23:16:00,2902
5019,1101,2024-03-09 06:05:00,2087
5020,1104,2024-04-24 06:07:00,34910
5021,1106,2024-07-14 22:08:00,52139
5022,1110,2024-05-07 15:55:00,7368
5023,1111,2024-04-16 05:20:00,16383
5024,1120,2024-06-29 03:51:00,24776
5025,1123,2024-02-19 10:35:00,24432
5026,1126,2024-06-24 09:28:00,26199
5027,1128,2024-02-02 12:33:00,4202
5028,1130,2024-07-02 03:26:00,20929
5029,1134,2024-02-02 04:58:00,5979
5030,1135,2024-06-05 20:37:00,10769
5031,1136,2024-04-01 19:57:00,61653
5032,1139,2024-04-04 16:28:00,1511
5033,1146,2024-03-02 02:49:00,48217
5034,1149,2024-04-12 13:11:00,17168
5035,1153,2024-05-05 23:45:00,9370
5036,1161,2024-02-28 17:34:00,9561
5037,1163,2024-06-17 14:15:00,29369
5038,1165,2024-03-24 00:56:00,85494
5039,1169,2024-02-25 21:17:00,18916
5040,1171,2024-07-14 04:21:00,22200
