month,customer_id,region,recognised_usd_cents,orders_recognised
2024-01-01,1,APAC,24698,2
2024-01-01,4,EMEA,97505,3
2024-01-01,7,EMEA,314,1
2024-01-01,9,APAC,34,1
2024-01-01,10,EMEA,90924,1
2024-01-01,14,EMEA,58314,3
2024-01-01,16,APAC,180379,3
2024-01-01,17,EMEA,120962,3
2024-01-01,21,NA,14781,1
2024-01-01,23,EMEA,87872,1
2024-02-01,10,EMEA,59183,4
2024-02-01,14,EMEA,87891,2
2024-02-01,21,NA,85517,1
2024-02-01,24,APAC,109855,6
2024-02-01,27,UNKNOWN,159201,4
2024-03-01,5,APAC,61806,2
2024-03-01,7,EMEA,288089,5
2024-03-01,12,APAC,87589,5
2024-03-01,16,APAC,112929,4
2024-03-01,22,NA,72565,2
2024-03-01,23,EMEA,72762,1
2024-03-01,24,APAC,89215,3
2024-04-01,6,NA,202965,3
2024-04-01,10,EMEA,135994,4
2024-04-01,12,APAC,95104,1
2024-04-01,25,UNKNOWN,26189,1
2024-04-01,26,UNKNOWN,96360,2
2024-05-01,6,NA,78600,4
2024-05-01,18,EMEA,13602,1
2024-05-01,19,APAC,60401,2
2024-05-01,26,UNKNOWN,87759,1
2024-06-01,2,NA,124135,2
2024-06-01,8,NA,53280,3
2024-06-01,18,EMEA,69615,1
2024-06-01,25,UNKNOWN,80166,1
