currency,day,rate_to_usd
USD,2024-01-01,1.00275
USD,2024-01-02,0.99256
USD,2024-01-03,0.99316
USD,2024-01-04,0.99291
USD,2024-01-05,0.99015
USD,2024-01-06,0.99723
USD,2024-01-07,1.0037
USD,2024-01-08,1.00805
USD,2024-01-09,1.00933
USD,2024-01-10,0.99806
USD,2024-01-11,1.00943
USD,2024-01-12,0.99861
USD,2024-01-13,0.99906
USD,2024-01-14,0.99108
USD,2024-01-15,1.0009
USD,2024-01-16,0.99902
USD,2024-01-17,0.99056
USD,2024-01-18,1.00591
USD,2024-01-19,1.00101
USD,2024-01-20,0.99391
USD,2024-01-21,1.00294
USD,2024-01-22,0.99849
USD,2024-01-23,1.00498
USD,2024-01-24,1.00197
USD,2024-01-25,1.00815
USD,2024-01-26,0.99634
USD,2024-01-27,0.99994
USD,2024-01-28,0.99181
USD,2024-01-29,1.00092
USD,2024-01-30,0.99494
USD,2024-01-31,0.9917
USD,2024-02-01,1.0035
USD,2024-02-02,1.00351
USD,2024-02-03,0.99758
USD,2024-02-04,0.99643
USD,2024-02-05,0.99474
USD,2024-02-06,0.99339
USD,2024-02-07,1.00178
USD,2024-02-08,1.00661
USD,2024-02-09,1.00668
USD,2024-02-10,1.00117
USD,2024-02-11,1.00089
USD,2024-02-12,0.99334
USD,2024-02-13,0.99975
USD,2024-02-14,0.99506
USD,2024-02-15,1.00931
USD,2024-02-16,0.9963
USD,2024-02-17,0.99451
USD,2024-02-18,1.00213
USD,2024-02-19,1.00792
USD,2024-02-20,0.9901
USD,2024-02-21,0.99326
USD,2024-02-22,0.99911
USD,2024-02-23,1.00104
USD,2024-02-24,1.00928
USD,2024-02-25,0.99573
USD,2024-02-26,1.00215
USD,2024-02-27,1.00714
USD,2024-02-28,0.99352
USD,2024-02-29,1.0069
USD,2024-03-01,1.00738
USD,2024-03-02,0.99015
USD,2024-03-03,0.99505
USD,2024-03-04,1.00476
USD,2024-03-05,0.99963
USD,2024-03-06,0.9981
USD,2024-03-07,0.99102
USD,2024-03-08,0.99646
USD,2024-03-09,0.99444
USD,2024-03-10,1.00839
USD,2024-03-11,0.99388
USD,2024-03-12,1.00715
USD,2024-03-13,0.99838
USD,2024-03-14,1.00474
USD,2024-03-15,0.99633
USD,2024-03-16,0.99393
USD,2024-03-17,1.00472
USD,2024-03-18,0.99974
USD,2024-03-19,1.00274
USD,2024-03-20,0.99979
USD,2024-03-21,0.99841
USD,2024-03-22,1.0003
USD,2024-03-23,0.99909
USD,2024-03-24,0.99738
USD,2024-03-25,1.00843
USD,2024-03-26,1.00782
USD,2024-03-27,0.99156
USD,2024-03-28,0.99962
USD,2024-03-29,0.99854
USD,2024-03-30,1.00498
USD,2024-03-31,1.00429
USD,2024-04-01,0.99752
USD,2024-04-02,0.99725
USD,2024-04-03,1.00148
USD,2024-04-04,0.99095
USD,2024-04-05,0.99631
USD,2024-04-06,0.99418
USD,2024-04-07,0.99824
USD,2024-04-08,0.99239
USD,2024-04-09,1.00156
USD,2024-04-10,0.99287
USD,2024-04-11,1.00916
USD,2024-04-12,1.00626
USD,2024-04-13,1.00838
USD,2024-04-14,0.99801
USD,2024-04-15,1.00096
USD,2024-04-16,1.00559
USD,2024-04-17,0.99623
USD,2024-04-18,1.0007
USD,2024-04-19,0.99085
USD,2024-04-20,1.00443
USD,2024-04-21,1.00521
USD,2024-04-22,1.00732
USD,2024-04-23,0.99211
USD,2024-04-24,1.00497
USD,2024-04-25,0.99524
USD,2024-04-26,0.99616
USD,2024-04-27,1.00386
USD,2024-04-28,0.99481
USD,2024-04-29,1.00881
USD,2024-04-30,1.0072
USD,2024-05-01,0.99046
USD,2024-05-02,0.99903
USD,2024-05-03,0.99464
USD,2024-05-04,0.99599
USD,2024-05-05,0.99262
USD,2024-05-06,0.99888
USD,2024-05-07,0.99691
USD,2024-05-08,1.00009
USD,2024-05-09,0.99429
USD,2024-05-10,1.00843
USD,2024-05-11,1.00648
USD,2024-05-12,0.99305
USD,2024-05-13,1.00108
USD,2024-05-14,1.00911
USD,2024-05-15,0.99777
USD,2024-05-16,0.99337
USD,2024-05-17,1.00987
USD,2024-05-18,1.00234
USD,2024-05-19,1.00899
USD,2024-05-20,1.00229
USD,2024-05-21,0.99582
USD,2024-05-22,1.00751
USD,2024-05-23,0.99225
USD,2024-05-24,1.00956
USD,2024-05-25,0.99241
USD,2024-05-26,1.00763
USD,2024-05-27,0.99787
USD,2024-05-28,1.00404
USD,2024-05-29,0.99599
USD,2024-05-30,1.00671
USD,2024-05-31,1.00947
USD,2024-06-01,1.00888
USD,2024-06-02,1.00006
USD,2024-06-03,0.99495
USD,2024-06-04,0.99071
USD,2024-06-05,0.99658
USD,2024-06-06,0.99846
USD,2024-06-07,0.99688
USD,2024-06-08,0.99
USD,2024-06-09,0.99021
USD,2024-06-10,0.99038
USD,2024-06-11,1.00742
USD,2024-06-12,1.00689
USD,2024-06-13,0.99468
USD,2024-06-14,1.00949
USD,2024-06-15,0.99845
USD,2024-06-16,0.9925
USD,2024-06-17,0.99353
USD,2024-06-18,0.99834
USD,2024-06-19,0.99132
USD,2024-06-20,1.00798
USD,2024-06-21,1.004
USD,2024-06-22,1.00487
USD,2024-06-23,1.00737
USD,2024-06-24,0.99357
USD,2024-06-25,1.00302
USD,2024-06-26,0.9965
USD,2024-06-27,0.99251
USD,2024-06-28,1.00925
USD,2024-06-29,0.99474
USD,2024-06-30,1.00634
USD,2024-07-01,0.99312
USD,2024-07-02,1.00292
USD,2024-07-03,1.00291
USD,2024-07-04,0.99059
USD,2024-07-05,0.9911
USD,2024-07-06,0.99287
USD,2024-07-07,1.00424
USD,2024-07-08,0.99624
EUR,2024-01-01,1.089655
