month,customer_id,region,net_usd_cents
2024-01-01,1,APAC,4372
2024-01-01,4,NA,74521
2024-01-01,6,NA,34006
2024-01-01,7,APAC,50802
2024-01-01,9,EMEA,56917
2024-01-01,10,EMEA,81183
2024-01-01,11,APAC,80298
2024-01-01,17,NA,227
2024-01-01,18,EMEA,26919
2024-01-01,23,NA,66883
2024-01-01,24,UNKNOWN,73044
2024-02-01,1,APAC,47644
2024-02-01,3,APAC,59917
2024-02-01,4,NA,66853
2024-02-01,8,NA,44644
2024-02-01,9,EMEA,67150
2024-02-01,10,EMEA,133802
2024-02-01,12,APAC,51441
2024-02-01,13,EMEA,78088
2024-02-01,14,EMEA,482
2024-02-01,15,NA,103344
2024-02-01,18,EMEA,58626
2024-02-01,22,APAC,145358
2024-02-01,23,NA,1521
2024-02-01,24,UNKNOWN,47372
2024-02-01,25,UNKNOWN,91742
2024-02-01,26,UNKNOWN,47231
2024-03-01,6,NA,22305
2024-03-01,9,EMEA,44776
2024-03-01,11,APAC,61999
2024-03-01,14,EMEA,21101
2024-03-01,17,NA,8585
2024-03-01,18,EMEA,69317
2024-03-01,19,NA,86070
2024-03-01,20,APAC,52052
2024-03-01,22,APAC,81529
2024-03-01,24,UNKNOWN,73339
2024-03-01,25,UNKNOWN,4182
2024-04-01,2,APAC,515
2024-04-01,3,APAC,34049
2024-04-01,4,NA,40363
2024-04-01,5,APAC,356
2024-04-01,6,NA,34041
2024-04-01,10,EMEA,78442
2024-04-01,12,APAC,67524
2024-04-01,13,EMEA,83538
2024-04-01,14,EMEA,15488
2024-04-01,17,NA,536
2024-04-01,18,EMEA,72403
2024-04-01,22,APAC,51752
2024-04-01,26,UNKNOWN,474
2024-05-01,2,APAC,24805
2024-05-01,3,APAC,54027
2024-05-01,4,NA,40570
2024-05-01,17,NA,136113
2024-05-01,19,NA,494
2024-05-01,22,APAC,100299
2024-05-01,25,UNKNOWN,71078
2024-06-01,1,APAC,337
2024-06-01,2,APAC,86968
2024-06-01,3,APAC,123554
2024-06-01,4,NA,95020
2024-06-01,5,APAC,63747
2024-06-01,7,APAC,20122
2024-06-01,14,EMEA,191
2024-06-01,19,NA,69221
2024-06-01,23,NA,138558
2024-06-01,25,UNKNOWN,57
