currency,day,rate_to_usd
USD,2024-01-01,1.00522
USD,2024-01-02,0.99659
USD,2024-01-03,1.00646
USD,2024-01-04,1.00736
USD,2024-01-05,1.00388
USD,2024-01-06,1.00115
USD,2024-01-07,1.00796
USD,2024-01-08,1.00126
USD,2024-01-09,1.00268
USD,2024-01-10,0.99364
USD,2024-01-11,0.99371
USD,2024-01-12,1.00274
USD,2024-01-13,1.0044
USD,2024-01-14,0.99892
USD,2024-01-15,1.00007
USD,2024-01-16,1.00617
USD,2024-01-17,1.00056
USD,2024-01-18,1.00404
USD,2024-01-19,0.99507
USD,2024-01-20,0.99822
USD,2024-01-21,1.00509
USD,2024-01-22,1.00417
USD,2024-01-23,0.99606
USD,2024-01-24,1.00875
USD,2024-01-25,0.99361
USD,2024-01-26,1.00404
USD,2024-01-27,0.99333
USD,2024-01-28,0.9994
USD,2024-01-29,0.99092
USD,2024-01-30,0.99417
USD,2024-01-31,1.00571
USD,2024-02-01,1.0065
USD,2024-02-02,0.99682
USD,2024-02-03,1.0058
USD,2024-02-04,1.00473
USD,2024-02-05,1.00083
USD,2024-02-06,1.00084
USD,2024-02-07,1.00718
USD,2024-02-08,0.99106
USD,2024-02-09,1.00593
USD,2024-02-10,0.99019
USD,2024-02-11,0.9906
USD,2024-02-12,0.99291
USD,2024-02-13,0.99815
USD,2024-02-14,1.00462
USD,2024-02-15,0.99635
USD,2024-02-16,0.99136
USD,2024-02-17,0.99256
USD,2024-02-18,0.99766
USD,2024-02-19,1.00351
USD,2024-02-20,1.00279
USD,2024-02-21,0.99602
USD,2024-02-22,0.99231
USD,2024-02-23,1.00472
USD,2024-02-24,0.99732
USD,2024-02-25,0.9988
USD,2024-02-26,0.9938
USD,2024-02-27,1.00274
USD,2024-02-28,0.99943
USD,2024-02-29,0.99023
USD,2024-03-01,0.99616
USD,2024-03-02,1.00406
USD,2024-03-03,0.99626
USD,2024-03-04,1.00631
USD,2024-03-05,0.99427
USD,2024-03-06,0.99519
USD,2024-03-07,1.00942
USD,2024-03-08,0.99844
USD,2024-03-09,1.00943
USD,2024-03-10,0.9955
USD,2024-03-11,0.99268
