customer_id,region,tier,signed_up_at
1,APAC,plus,2024-03-24
2,APAC,standard,2024-02-08
3,APAC,plus,2024-03-16
4,NA,standard,2024-04-23
5,APAC,standard,2024-01-07
6,NA,plus,2024-01-13
7,APAC,standard,2024-02-10
8,NA,standard,2024-01-18
9,EMEA,standard,2024-01-03
10,EMEA,standard,2024-02-15
11,APAC,plus,2024-02-24
12,APAC,standard,2024-03-14
13,EMEA,standard,2024-03-20
14,EMEA,standard,2024-03-26
15,NA,plus,2024-02-04
16,NA,internal,2024-04-01
17,NA,plus,2024-04-20
18,EMEA,standard,2024-04-17
19,NA,plus,2024-01-14
20,APAC,plus,2024-04-03
21,EMEA,plus,2024-04-21
22,APAC,plus,2024-01-12
23,NA,standard,2024-01-10
