refund_id,order_id,refunded_at,amount_cents
5000,1008,2024-06-07 09:03:00,33148
5001,1014,2024-07-13 00:58:00,37990
5002,1025,2024-03-26 16:21:00,29318
5003,1031,2024-03-19 15:06:00,30119
5004,1034,2024-03-23 09:00:00,41950
5005,1040,2024-02-17 07:34:00,19904
5006,1042,2024-03-17 07:11:00,8766
5007,1043,2024-04-15 21:13:00,24587
5008,1048,2024-03-23 09:23:00,13465
5009,1049,2024-04-18 03:53:00,49054
5010,1051,2024-07-25 11:32:00,45613
5011,1055,2024-03-29 06:08:00,48783
5012,1059,2024-04-02 14:42:00,2127
5013,1060,2024-02-11 21:33:00,713
5014,1068,2024-06-17 10:30:00,11439
5015,1071,2024-02-19 14:37:00,1003
5016,1081,2024-03-22 12:27:00,6584
5017,1089,2024-06-05 06:54:00,10959
5018,1093,2024-04-05 02:33:00,22243
5019,1095,2024-04-25 16:44:00,27793
5020,1108,2024-02-09 16:52:00,3517
5021,1110,2024-02-07 21:09:00,27390
5022,1111,2024-03-25 15:18:00,11184
5023,1114,2024-03-12 23:24:00,27669
5024,1115,2024-05-03 13:37:00,53677
5025,1120,2024-04-18 23:37:00,47909
5026,1121,2024-03-20 12:37:00,23715
5027,1126,2024-08-04 19:42:00,18498
5028,1127,2024-03-06 11:59:00,29227
5029,1129,2024-07-01 14:37:00,39587
5030,1135,2024-07-14 03:19:00,20547
5031,1136,2024-05-26 02:21:00,43358
5032,1143,2024-02-23 22:03:00,49701
5033,1145,2024-04-12 22:19:00,52416
5034,1153,2024-01-30 07:56:00,76820
5035,1161,2024-04-21 09:24:00,7119
5036,1163,2024-03-31 11:36:00,47820
5037,1166,2024-07-19 14:47:00,34988
5038,1171,2024-04-16 23:34:00,10336
5039,1179,2024-02-03 22:34:00,26743
5040,1180,2024-05-31 01:30:00,20787
5041,1186,2024-05-11 12:21:00,19915
