currency,day,rate_to_usd
USD,2024-01-01,0.99921
USD,2024-01-02,0.99244
USD,2024-01-03,0.99368
USD,2024-01-04,0.99239
USD,2024-01-05,1.00911
USD,2024-01-06,0.99991
USD,2024-01-07,1.00236
USD,2024-01-08,1.00819
USD,2024-01-09,1.00573
USD,2024-01-10,0.99768
USD,2024-01-11,1.0
USD,2024-01-12,1.00906
USD,2024-01-13,0.99964
USD,2024-01-14,0.99034
USD,2024-01-15,0.99248
USD,2024-01-16,1.00369
USD,2024-01-17,1.00265
USD,2024-01-18,1.00579
USD,2024-01-19,1.00676
USD,2024-01-20,0.99797
USD,2024-01-21,1.00358
USD,2024-01-22,0.9996
USD,2024-01-23,1.00034
USD,2024-01-24,1.00313
USD,2024-01-25,0.99974
USD,2024-01-26,1.00336
USD,2024-01-27,1.00701
USD,2024-01-28,1.0082
USD,2024-01-29,1.00863
USD,2024-01-30,1.00247
USD,2024-01-31,0.99107
USD,2024-02-01,1.00699
USD,2024-02-02,1.00806
USD,2024-02-03,0.99766
USD,2024-02-04,0.99601
USD,2024-02-05,0.99205
USD,2024-02-06,0.99118
USD,2024-02-07,1.00853
USD,2024-02-08,0.99925
USD,2024-02-09,1.00982
USD,2024-02-10,1.00298
USD,2024-02-11,0.99281
USD,2024-02-12,1.00693
USD,2024-02-13,1.00107
USD,2024-02-14,1.00025
USD,2024-02-15,1.00512
USD,2024-02-16,0.99124
USD,2024-02-17,0.9936
USD,2024-02-18,1.00446
USD,2024-02-19,1.00564
USD,2024-02-20,0.99057
USD,2024-02-21,0.99235
USD,2024-02-22,0.99602
USD,2024-02-23,0.99708
USD,2024-02-24,1.00502
USD,2024-02-25,0.99231
USD,2024-02-26,1.00099
USD,2024-02-27,1.00574
USD,2024-02-28,0.99137
USD,2024-02-29,1.00448
USD,2024-03-01,1.0057
USD,2024-03-02,1.00188
USD,2024-03-03,0.99213
USD,2024-03-04,1.0043
USD,2024-03-05,1.00902
USD,2024-03-06,1.00088
USD,2024-03-07,0.99172
USD,2024-03-08,1.00933
USD,2024-03-09,1.00801
USD,2024-03-10,0.99615
USD,2024-03-11,1.00817
USD,2024-03-12,0.99383
USD,2024-03-13,0.9934
USD,2024-03-14,1.00725
USD,2024-03-15,0.99275
