refund_id,order_id,refunded_at,amount_cents
5000,1000,2024-04-17 22:19:00,10650
5001,1001,2024-06-11 03:10:00,77757
5002,1002,2024-05-04 08:46:00,13060
5003,1006,2024-01-24 21:48:00,15340
5004,1008,2024-02-06 09:44:00,16997
5005,1010,2024-06-23 04:44:00,61178
5006,1013,2024-05-14 00:38:00,59168
5007,1015,2024-03-19 14:49:00,8774
5008,1017,2024-05-07 11:53:00,97
5009,1019,2024-01-31 08:53:00,86005
5010,1043,2024-02-10 17:17:00,58770
5011,1061,2024-04-14 12:47:00,5153
5012,1062,2024-02-20 01:16:00,72450
5013,1069,2024-02-22 03:46:00,36764
5014,1084,2024-06-02 18:47:00,23011
5015,1087,2024-03-07 13:06:00,3386
5016,1090,2024-02-13 21:22:00,22057
5017,1091,2024-03-03 18:20:00,39994
5018,1116,2024-03-22 16:41:00,7930
5019,1118,2024-04-13 01:14:00,20898
5020,1122,2024-01-26 07:49:00,17963
5021,1132,2024-04-13 01:01:00,37792
5022,1138,2024-04-01 14:00:00,27285
5023,1146,2024-06-01 04:45:00,23510
5024,1153,2024-06-11 00:50:00,4473
5025,1159,2024-03-10 17:41:00,13412
5026,1160,2024-03-12 10:27:00,25489
5027,1162,2024-03-23 23:55:00,28183
