order_id,customer_id,placed_at,amount_cents,currency,status
1000,8,2024-03-24 16:19:00,21301,JPY,paid
1001,25,2024-05-05 10:10:00,77757,GBP,paid
1002,21,2024-04-19 05:46:00,39181,EUR,paid
1003,12,2024-04-22 22:17:00,41992,GBP,paid
1004,14,2024-03-07 04:47:00,73925,USD,pending
1005,13,2024-03-31 13:53:00,33785,EUR,pending
1006,15,2024-01-14 02:48:00,46022,GBP,paid
1007,19,2024-06-02 09:59:00,67685,EUR,void
1007,19,2024-06-02 21:59:00,67202,EUR,void
1008,9,2024-01-16 08:44:00,33994,JPY,pending
1009,22,2024-01-29 15:22:00,14435,GBP,settled
1010,2,2024-05-17 01:44:00,61178,JPY,settled
1011,9,2024-02-15 05:12:00,2197,USD,paid
1012,12,2024-02-25 23:20:00,49658,USD,void
1013,11,2024-05-11 14:38:00,59168,GBP,paid
1014,11,2024-04-05 15:21:00,69336,USD,paid
1014,11,2024-04-06 10:21:00,69074,USD,paid
1015,5,2024-03-19 10:49:00,26322,JPY,pending
1016,23,2024-06-08 01:11:00,14189,GBP,settled
1017,4,2024-03-23 02:53:00,194,GBP,paid
1018,12,2024-06-15 12:05:00,13006,EUR,pending
1019,7,2024-01-12 07:53:00,86005,USD,void
1020,25,2024-04-08 14:54:00,83571,EUR,paid
1021,9,2024-05-08 21:22:00,86553,GBP,paid
1022,5,2024-04-07 08:40:00,12052,USD,paid
1023,22,2024-04-03 01:08:00,51614,USD,pending
1024,16,2024-04-04 19:41:00,4184,EUR,paid
1024,16,2024-04-05 02:41:00,3913,EUR,paid
1025,10,2024-03-08 15:21:00,85548,USD,paid
1026,24,2024-06-28 21:45:00,53884,USD,void
1027,15,2024-01-02 13:51:00,27180,JPY,paid
1028,18,2024-02-10 10:45:00,30172,EUR,paid
1029,24,2024-03-22 04:21:00,71230,EUR,paid
1030,21,2024-06-01 21:26:00,34369,JPY,paid
1031,16,2024-01-24 05:17:00,-55601,JPY,pending
1032,2,2024-03-09 21:34:00,68536,EUR,pending
1033,15,2024-03-26 16:38:00,1860,GBP,paid
1034,19,2024-01-12 12:21:00,32743,GBP,paid
1035,4,2024-03-08 21:53:00,24969,EUR,settled
1036,7,2024-06-10 02:49:00,82358,GBP,settled
1037,6,2024-01-27 00:44:00,84296,JPY,paid
1038,21,2024-06-02 09:42:00,42440,EUR,pending
1038,21,2024-06-03 14:42:00,42161,EUR,pending
1039,15,2024-03-06 06:13:00,39346,EUR,void
1039,15,2024-03-07 02:13:00,39259,EUR,void
1040,25,2024-06-01 13:24:00,29474,USD,paid
1041,11,2024-04-05 00:53:00,75697,JPY,pending
1042,14,2024-05-15 14:43:00,5987,JPY,settled
1043,14,2024-01-21 02:17:00,-58770,USD,paid
1044,3,2024-04-19 12:42:00,53744,JPY,settled
1045,16,2024-02-04 00:19:00,40858,EUR,pending
1046,5,2024-06-19 05:40:00,49164,USD,paid
1046,5,2024-06-19 07:40:00,48949,USD,paid
1047,22,2024-01-18 18:00:00,84370,JPY,settled
1048,3,2024-04-21 23:51:00,79906,JPY,paid
1049,6,2024-03-25 11:15:00,14609,JPY,void
1050,19,2024-02-15 10:11:00,14895,JPY,void
1051,4,2024-03-10 14:22:00,62102,GBP,void
1052,5,2024-03-16 01:02:00,676,JPY,paid
1053,6,2024-01-20 07:31:00,13959,USD,settled
1054,3,2024-06-05 21:58:00,32251,EUR,settled
1055,19,2024-02-11 01:14:00,66746,EUR,void
1056,5,2024-05-04 01:29:00,21436,EUR,void
1057,2,2024-01-04 22:00:00,10703,USD,paid
1058,14,2024-04-07 18:06:00,21835,JPY,settled
1059,11,2024-06-15 12:36:00,86026,EUR,settled
1060,21,2024-02-18 03:52:00,73166,EUR,pending
1061,21,2024-03-18 23:47:00,5153,USD,paid
1062,21,2024-01-15 00:16:00,72450,EUR,settled
1063,21,2024-02-22 00:39:00,11553,EUR,void
1064,11,2024-03-22 11:24:00,44091,GBP,void
1065,2,2024-04-20 09:57:00,89093,EUR,paid
1066,1,2024-06-24 21:56:00,6349,USD,void
1066,1,2024-06-25 16:56:00,6184,USD,void
1067,7,2024-03-12 13:47:00,70996,GBP,paid
