customer_id,region,tier,signed_up_at
1,NA,standard,2024-01-07
2,NA,plus,2024-04-17
3,NA,standard,2024-01-27
4,EMEA,internal,2024-01-02
5,EMEA,standard,2024-02-15
6,EMEA,standard,2024-04-23
7,APAC,standard,2024-01-07
8,NA,standard,2024-04-17
9,NA,plus,2024-04-25
10,APAC,standard,2024-01-21
11,EMEA,plus,2024-01-22
12,EMEA,standard,2024-01-02
13,NA,standard,2024-02-12
14,APAC,standard,2024-01-18
15,EMEA,plus,2024-01-26
16,NA,plus,2024-01-13
17,APAC,standard,2024-02-04
18,EMEA,standard,2024-04-10
19,EMEA,plus,2024-01-20
20,EMEA,standard,2024-02-09
21,APAC,plus,2024-02-13
22,APAC,plus,2024-01-17
