payment_id,customer_id,paid_at,amount_cents,currency,method
9000,23,2024-02-29 03:00:00,133569,EUR,wire
9001,16,2024-01-19 12:00:00,130506,JPY,wire
9002,14,2024-05-26 16:00:00,113318,JPY,ach
9003,23,2024-01-09 17:00:00,25210,JPY,wire
9004,14,2024-03-31 09:00:00,37635,USD,wire
9005,11,2024-03-30 22:00:00,90556,USD,ach
9006,10,2024-03-30 12:00:00,76591,EUR,wire
9007,25,2024-01-20 18:00:00,41418,JPY,card
9008,21,2024-03-09 17:00:00,29155,JPY,card
9009,7,2024-04-19 09:00:00,78083,JPY,wire
9010,2,2024-02-18 04:00:00,144310,JPY,ach
9011,5,2024-06-18 06:00:00,21357,JPY,card
9012,18,2024-05-21 17:00:00,14459,USD,wire
9013,16,2024-03-12 07:00:00,64601,GBP,card
9014,23,2024-04-28 13:00:00,65540,USD,card
9015,2,2024-06-09 08:00:00,23398,USD,ach
9016,24,2024-02-26 14:00:00,36944,JPY,ach
9017,6,2024-04-07 13:00:00,31668,USD,ach
9018,12,2024-02-09 01:00:00,8414,USD,card
9019,23,2024-06-08 02:00:00,134132,USD,ach
9020,4,2024-05-07 00:00:00,141539,USD,card
9021,23,2024-07-02 06:00:00,3660,USD,wire
9022,3,2024-03-07 23:00:00,76931,GBP,card
9023,13,2024-02-15 21:00:00,121126,JPY,card
9024,15,2024-01-04 22:00:00,83051,GBP,wire
9025,7,2024-04-04 22:00:00,86878,EUR,card
9026,16,2024-06-26 07:00:00,1747,JPY,card
9027,2,2024-05-04 23:00:00,35972,EUR,ach
9028,12,2024-05-11 19:00:00,143380,USD,wire
9029,14,2024-01-28 20:00:00,51438,JPY,ach
9030,4,2024-05-06 11:00:00,40679,EUR,card
9031,4,2024-05-28 00:00:00,15272,USD,wire
9032,10,2024-05-11 12:00:00,107935,EUR,ach
9033,15,2024-01-03 20:00:00,28775,USD,ach
9034,18,2024-05-27 04:00:00,143390,GBP,wire
9035,15,2024-06-10 18:00:00,1595,USD,wire
9036,9,2024-06-09 10:00:00,113480,USD,card
9037,21,2024-05-25 14:00:00,134134,EUR,wire
9038,19,2024-01-06 18:00:00,66947,EUR,wire
9039,5,2024-05-12 03:00:00,144942,JPY,wire
9040,23,2024-05-27 20:00:00,80414,GBP,wire
9041,7,2024-04-24 19:00:00,36612,GBP,ach
9042,20,2024-01-07 12:00:00,137018,GBP,card
9043,14,2024-02-27 12:00:00,108781,JPY,card
9044,7,2024-03-23 16:00:00,46899,USD,wire
9045,9,2024-04-04 18:00:00,104911,JPY,card
9046,18,2024-06-22 12:00:00,2166,GBP,ach
9047,18,2024-02-27 12:00:00,50589,JPY,card
9048,4,2024-02-04 07:00:00,82218,USD,card
9049,14,2024-05-06 18:00:00,68687,EUR,wire
9050,3,2024-01-13 00:00:00,85392,GBP,ach
9051,6,2024-04-15 03:00:00,17011,USD,wire
9052,6,2024-01-28 01:00:00,52995,JPY,ach
9053,20,2024-02-14 03:00:00,67078,EUR,wire
9054,24,2024-02-11 00:00:00,46568,JPY,wire
9055,18,2024-05-15 21:00:00,53250,JPY,ach
9056,6,2024-03-27 14:00:00,101684,EUR,card
9057,5,2024-04-28 08:00:00,25496,GBP,wire
9058,19,2024-01-06 04:00:00,76196,GBP,card
9059,19,2024-06-01 22:00:00,40497,EUR,ach
9060,3,2024-05-24 22:00:00,37138,USD,ach
9061,18,2024-05-28 15:00:00,22807,GBP,ach
9062,19,2024-01-20 08:00:00,78786,GBP,wire
9063,15,2024-02-22 08:00:00,102578,USD,card
9064,2,2024-05-05 14:00:00,114791,USD,wire
9065,5,2024-01-09 08:00:00,75318,JPY,ach
9066,8,2024-03-27 10:00:00,149335,USD,ach
9067,9,2024-02-25 09:00:00,40900,EUR,ach
9068,18,2024-04-04 23:00:00,56642,JPY,wire
9069,16,2024-06-24 23:00:00,27477,GBP,ach
9070,14,2024-06-28 05:00:00,112107,GBP,ach
9071,8,2024-01-19 12:00:00,73618,GBP,wire
9072,21,2024-04-25 08:00:00,39275,EUR,wire
9073,7,2024-04-20 07:00:00,13495,EUR,card
9074,6,2024-05-17 00:00:00,22293,EUR,wire
9075,24,2024-01-15 16:00:00,127377,JPY,wire
9076,18,2024-02-14 02:00:00,62751,USD,card
9077,11,2024-01-14 13:00:00,65401,GBP,ach
9078,3,2024-05-26 01:00:00,100809,USD,wire
9079,1,2024-03-04 01:00:00,122653,USD,card
9080,6,2024-02-26 17:00:00,19017,GBP,card
9081,3,2024-03-10 06:00:00,108543,GBP,card
9082,6,2024-03-10 18:00:00,33533,GBP,wire
9083,3,2024-04-12 20:00:00,137485,JPY,card
9084,15,2024-05-03 06:00:00,34977,GBP,wire
9085,6,2024-02-10 19:00:00,125113,EUR,wire
9086,9,2024-04-12 17:00:00,129431,GBP,card
9087,21,2024-04-22 21:00:00,138515,USD,card
9088,4,2024-02-12 18:00:00,52644,USD,card
9089,5,2024-06-30 18:00:00,52291,EUR,card
9090,4,2024-03-25 06:00:00,99568,GBP,ach
9091,7,2024-06-08 10:00:00,73068,GBP,wire
9092,8,2024-05-25 16:00:00,109643,EUR,wire
9093,12,2024-02-11 00:00:00,145172,EUR,card
9094,13,2024-05-17 19:00:00,77792,JPY,wire
9095,13,2024-03-20 05:00:00,93203,USD,wire
9096,21,2024-05-15 14:00:00,41692,JPY,wire
9097,21,2024-06-24 11:00:00,121841,EUR,wire
9098,12,2024-04-08 11:00:00,40384,EUR,card
9099,16,2024-03-13 05:00:00,75724,USD,ach
