month,customer_id,region,net_usd_cents
2024-01-01,1,APAC,57843
2024-01-01,6,APAC,73346
2024-01-01,11,EMEA,33101
2024-01-01,14,NA,62567
2024-01-01,16,EMEA,104019
2024-01-01,18,NA,585
2024-01-01,19,APAC,112544
2024-01-01,20,EMEA,31068
2024-01-01,22,EMEA,53805
2024-01-01,23,APAC,155120
2024-01-01,25,NA,107
2024-01-01,29,UNKNOWN,11653
2024-02-01,2,EMEA,39331
2024-02-01,3,EMEA,61202
2024-02-01,4,EMEA,60814
2024-02-01,5,NA,68088
2024-02-01,6,APAC,42
2024-02-01,7,EMEA,67954
2024-02-01,17,EMEA,61478
2024-02-01,18,NA,171572
2024-02-01,20,EMEA,18349
2024-02-01,22,EMEA,531
2024-02-01,23,APAC,1571
2024-02-01,25,NA,409
2024-02-01,27,EMEA,59473
2024-02-01,30,UNKNOWN,574
2024-03-01,4,EMEA,157344
2024-03-01,7,EMEA,58809
2024-03-01,17,EMEA,96583
2024-03-01,27,EMEA,4526
2024-03-01,28,UNKNOWN,43526
2024-03-01,30,UNKNOWN,94552
2024-04-01,2,EMEA,151064
2024-04-01,4,EMEA,83733
2024-04-01,5,NA,84126
2024-04-01,7,EMEA,532
2024-04-01,8,NA,27984
2024-04-01,9,APAC,93681
2024-04-01,15,APAC,10816
2024-04-01,16,EMEA,69982
2024-04-01,18,NA,451
2024-04-01,20,EMEA,240
2024-04-01,22,EMEA,107536
2024-04-01,23,APAC,82943
2024-04-01,29,UNKNOWN,444
2024-05-01,1,APAC,42196
2024-05-01,5,NA,12624
2024-05-01,6,APAC,62018
2024-05-01,10,EMEA,48532
2024-05-01,14,NA,18275
2024-05-01,17,EMEA,71558
2024-05-01,20,EMEA,86779
2024-05-01,25,NA,345
2024-05-01,30,UNKNOWN,62039
2024-06-01,1,APAC,338
2024-06-01,3,EMEA,13875
2024-06-01,6,APAC,304
2024-06-01,9,APAC,1
2024-06-01,13,EMEA,27411
2024-06-01,16,EMEA,40832
2024-06-01,18,NA,216
2024-06-01,19,APAC,57834
2024-06-01,20,EMEA,49247
2024-06-01,21,APAC,26
2024-06-01,27,EMEA,86669
2024-06-01,29,UNKNOWN,273
