currency,day,rate_to_usd
USD,2024-01-01,1.00176
USD,2024-01-02,1.00183
USD,2024-01-03,1.00954
USD,2024-01-04,1.00167
USD,2024-01-05,1.005
USD,2024-01-06,1.00794
USD,2024-01-07,1.00808
USD,2024-01-08,1.00747
USD,2024-01-09,0.99396
USD,2024-01-10,0.99867
USD,2024-01-11,0.99196
USD,2024-01-12,0.99541
USD,2024-01-13,0.99956
USD,2024-01-14,1.00605
USD,2024-01-15,0.99214
USD,2024-01-16,0.99172
USD,2024-01-17,1.00325
USD,2024-01-18,0.99326
USD,2024-01-19,0.99544
USD,2024-01-20,1.00362
USD,2024-01-21,0.99973
USD,2024-01-22,0.99133
USD,2024-01-23,1.00862
USD,2024-01-24,1.00557
USD,2024-01-25,1.00915
USD,2024-01-26,0.99886
USD,2024-01-27,1.00361
USD,2024-01-28,0.99166
USD,2024-01-29,1.00801
USD,2024-01-30,1.0079
USD,2024-01-31,0.99603
USD,2024-02-01,0.99372
USD,2024-02-02,1.00919
USD,2024-02-03,0.99412
USD,2024-02-04,0.99608
USD,2024-02-05,1.00452
USD,2024-02-06,0.99504
USD,2024-02-07,0.9998
USD,2024-02-08,1.00273
USD,2024-02-09,1.00171
USD,2024-02-10,0.99009
USD,2024-02-11,1.0002
USD,2024-02-12,1.00083
USD,2024-02-13,1.00178
USD,2024-02-14,0.99456
USD,2024-02-15,1.00867
USD,2024-02-16,1.00806
USD,2024-02-17,1.0026
USD,2024-02-18,0.99657
USD,2024-02-19,0.9997
USD,2024-02-20,0.99709
USD,2024-02-21,1.00019
USD,2024-02-22,0.99686
USD,2024-02-23,1.00036
USD,2024-02-24,0.99251
USD,2024-02-25,0.99754
USD,2024-02-26,0.99914
USD,2024-02-27,0.99647
USD,2024-02-28,0.99956
USD,2024-02-29,1.00445
USD,2024-03-01,0.99511
USD,2024-03-02,0.99395
USD,2024-03-03,0.99695
USD,2024-03-04,0.99669
USD,2024-03-05,1.00506
USD,2024-03-06,1.00221
USD,2024-03-07,1.00923
USD,2024-03-08,1.00156
USD,2024-03-09,1.00651
USD,2024-03-10,0.99265
USD,2024-03-11,1.00436
USD,2024-03-12,0.99216
USD,2024-03-13,1.00342
USD,2024-03-14,1.00376
USD,2024-03-15,0.99217
USD,2024-03-16,0.99332
USD,2024-03-17,0.99753
USD,2024-03-18,0.99758
USD,2024-03-19,0.99659
USD,2024-03-20,1.00736
USD,2024-03-21,0.99381
USD,2024-03-22,1.00056
USD,2024-03-23,1.00158
USD,2024-03-24,1.00449
USD,2024-03-25,1.00045
USD,2024-03-26,1.00166
USD,2024-03-27,1.00937
USD,2024-03-28,1.00309
USD,2024-03-29,0.99791
USD,2024-03-30,1.00506
USD,2024-03-31,0.99673
USD,2024-04-01,1.0019
USD,2024-04-02,1.00828
USD,2024-04-03,1.00551
USD,2024-04-04,0.99643
USD,2024-04-05,0.99021
USD,2024-04-06,1.00908
USD,2024-04-07,1.00145
USD,2024-04-08,0.99796
USD,2024-04-09,0.99551
USD,2024-04-10,0.99762
USD,2024-04-11,0.9904
USD,2024-04-12,0.99548
USD,2024-04-13,1.0026
USD,2024-04-14,1.0021
USD,2024-04-15,1.00792
USD,2024-04-16,1.00254
USD,2024-04-17,0.99457
USD,2024-04-18,0.99191
USD,2024-04-19,1.00074
USD,2024-04-20,0.9955
USD,2024-04-21,0.9905
USD,2024-04-22,1.00015
USD,2024-04-23,1.00088
USD,2024-04-24,0.99264
USD,2024-04-25,0.99271
USD,2024-04-26,1.00878
USD,2024-04-27,0.9974
USD,2024-04-28,1.00577
USD,2024-04-29,0.9973
USD,2024-04-30,1.00777
USD,2024-05-01,1.00154
USD,2024-05-02,0.99949
USD,2024-05-03,0.99404
USD,2024-05-04,1.00108
USD,2024-05-05,1.00654
USD,2024-05-06,1.00756
USD,2024-05-07,0.99207
USD,2024-05-08,0.99508
USD,2024-05-09,1.00629
USD,2024-05-10,1.00472
USD,2024-05-11,1.0041
USD,2024-05-12,1.00874
USD,2024-05-13,0.99612
USD,2024-05-14,1.00961
USD,2024-05-15,1.00117
USD,2024-05-16,0.99869
USD,2024-05-17,1.00534
USD,2024-05-18,0.99799
USD,2024-05-19,0.9901
USD,2024-05-20,1.00463
USD,2024-05-21,1.00807
USD,2024-05-22,1.00252
USD,2024-05-23,1.00548
USD,2024-05-24,1.00029
USD,2024-05-25,0.99553
USD,2024-05-26,1.0092
USD,2024-05-27,1.00748
USD,2024-05-28,1.00332
USD,2024-05-29,0.99588
USD,2024-05-30,0.99544
USD,2024-05-31,1.00425
USD,2024-06-01,0.99905
USD,2024-06-02,0.99423
USD,2024-06-03,1.00286
USD,2024-06-04,0.99737
USD,2024-06-05,1.00744
USD,2024-06-06,1.00466
USD,2024-06-07,0.9936
USD,2024-06-08,1.00824
USD,2024-06-09,0.99722
USD,2024-06-10,1.00247
USD,2024-06-11,1.00872
USD,2024-06-12,1.00826
USD,2024-06-13,0.99887
USD,2024-06-14,0.99635
USD,2024-06-15,1.00877
USD,2024-06-16,1.00259
USD,2024-06-17,0.99858
USD,2024-06-18,0.99791
USD,2024-06-19,1.00637
USD,2024-06-20,0.99684
USD,2024-06-21,1.00695
USD,2024-06-22,0.99757
USD,2024-06-23,1.00183
USD,2024-06-24,0.99809
USD,2024-06-25,1.00337
USD,2024-06-26,1.00588
USD,2024-06-27,1.00999
USD,2024-06-28,1.00978
USD,2024-06-29,1.00669
USD,2024-06-30,1.00565
USD,2024-07-01,0.99845
USD,2024-07-02,1.00118
USD,2024-07-03,0.99089
USD,2024-07-04,0.99967
USD,2024-07-05,1.00759
USD,2024-07-06,0.99835
USD,2024-07-07,1.00841
USD,2024-07-08,1.00498
EUR,2024-01-01,1.078412
EUR,2024-01-02,1.069265
EUR,2024-01-03,1.080259
EUR,2024-01-04,1.075885
EUR,2024-01-05,1.076695
EUR,2024-01-08,1.071317
EUR,2024-01-09,1.079622
EUR,2024-01-10,1.07271
EUR,2024-01-11,1.080929
EUR,2024-01-12,1.079039
EUR,2024-01-15,1.07419
EUR,2024-01-16,1.070345
EUR,2024-01-17,1.082732
EUR,2024-01-18,1.090638
EUR,2024-01-19,1.084698
EUR,2024-01-22,1.07824
EUR,2024-01-23,1.078391
EUR,2024-01-24,1.086134
EUR,2024-01-25,1.077624
EUR,2024-01-26,1.077073
EUR,2024-01-29,1.088348
EUR,2024-01-30,1.082646
EUR,2024-01-31,1.081804
EUR,2024-02-01,1.08918
EUR,2024-02-02,1.089385
EUR,2024-02-05,1.088597
EUR,2024-02-06,1.085648
EUR,2024-02-07,1.074935
EUR,2024-02-08,1.088165
EUR,2024-02-09,1.081544
EUR,2024-02-12,1.083974
EUR,2024-02-13,1.073617
EUR,2024-02-14,1.088716
EUR,2024-02-15,1.071587
EUR,2024-02-16,1.07379
EUR,2024-02-19,1.090703
EUR,2024-02-20,1.08878
EUR,2024-02-21,1.073034
EUR,2024-02-22,1.076641
EUR,2024-02-23,1.0796
EUR,2024-02-26,1.075982
EUR,2024-02-27,1.073801
EUR,2024-02-28,1.075043
EUR,2024-02-29,1.074006
EUR,2024-03-01,1.08526
EUR,2024-03-04,1.075064
EUR,2024-03-05,1.089212
EUR,2024-03-06,1.090616
EUR,2024-03-07,1.083359
EUR,2024-03-08,1.070194
EUR,2024-03-11,1.079406
EUR,2024-03-12,1.087754
EUR,2024-03-13,1.0823
EUR,2024-03-14,1.086653
EUR,2024-03-15,1.069276
EUR,2024-03-18,1.076609
EUR,2024-03-19,1.084439
EUR,2024-03-20,1.089623
EUR,2024-03-21,1.072883
EUR,2024-03-22,1.070194
EUR,2024-03-25,1.088154
EUR,2024-03-26,1.084147
EUR,2024-03-27,1.087452
EUR,2024-03-28,1.08851
EUR,2024-03-29,1.086599
EUR,2024-04-01,1.074028
EUR,2024-04-02,1.070129
EUR,2024-04-03,1.081102
EUR,2024-04-04,1.085
EUR,2024-04-05,1.089277
EUR,2024-04-08,1.081685
EUR,2024-04-09,1.073596
EUR,2024-04-10,1.089158
EUR,2024-04-11,1.082894
EUR,2024-04-12,1.078661
EUR,2024-04-15,1.086124
EUR,2024-04-16,1.087916
