customer_id,region,tier,signed_up_at
1,APAC,plus,2024-02-19
2,EMEA,plus,2024-01-21
3,EMEA,plus,2024-03-31
4,EMEA,standard,2024-04-12
5,NA,plus,2024-01-23
6,APAC,plus,2024-01-28
7,EMEA,standard,2024-01-17
8,NA,plus,2024-03-21
9,APAC,plus,2024-04-06
10,EMEA,plus,2024-03-30
11,EMEA,standard,2024-01-29
12,NA,standard,2024-04-11
13,EMEA,standard,2024-04-01
14,NA,plus,2024-04-11
15,APAC,standard,2024-04-21
16,EMEA,standard,2024-01-17
17,EMEA,standard,2024-03-22
18,NA,standard,2024-04-26
19,APAC,standard,2024-01-25
20,EMEA,standard,2024-04-22
21,APAC,plus,2024-03-08
22,EMEA,standard,2024-04-24
23,APAC,plus,2024-02-03
24,EMEA,standard,2024-02-28
25,NA,plus,2024-03-07
26,NA,internal,2024-03-24
27,EMEA,standard,2024-01-05
