refund_id,order_id,refunded_at,amount_cents
5000,1002,2024-02-29 11:53:00,85838
5001,1003,2024-06-28 08:12:00,70457
5002,1013,2024-03-18 17:47:00,12536
5003,1015,2024-07-04 17:31:00,49872
5004,1017,2024-04-07 18:35:00,1662
5005,1019,2024-05-27 19:27:00,28521
5006,1023,2024-05-29 12:01:00,47358
5007,1027,2024-02-26 14:40:00,28639
5008,1031,2024-02-20 20:45:00,73399
5009,1039,2024-08-13 07:53:00,25426
5010,1045,2024-04-27 04:03:00,15053
5011,1051,2024-03-24 21:08:00,19954
5012,1055,2024-06-02 14:05:00,18928
5013,1060,2024-06-24 07:45:00,23867
5014,1065,2024-02-25 19:53:00,43756
5015,1068,2024-06-08 09:56:00,14923
5016,1072,2024-03-13 03:13:00,40737
5017,1074,2024-06-13 09:51:00,37394
5018,1077,2024-07-28 16:06:00,17127
5019,1083,2024-04-11 09:39:00,12069
5020,1084,2024-07-28 03:02:00,10800
5021,1091,2024-04-02 23:31:00,79089
5022,1094,2024-05-11 01:49:00,4341
5023,1121,2024-04-12 11:40:00,33506
5024,1125,2024-05-01 08:11:00,35955
5025,1126,2024-02-16 14:41:00,15726
5026,1133,2024-03-02 19:36:00,21734
5027,1136,2024-06-30 11:09:00,4250
5028,1146,2024-06-23 03:01:00,43010
