month,customer_id,region,net_usd_cents
2024-01-01,1,APAC,102148
2024-01-01,3,NA,10695
2024-01-01,4,NA,3753
2024-01-01,6,EMEA,27720
2024-01-01,7,APAC,15866
2024-01-01,9,EMEA,67846
2024-01-01,10,NA,30535
2024-01-01,11,EMEA,8884
2024-01-01,12,EMEA,35887
2024-01-01,16,NA,63488
2024-01-01,19,APAC,94112
2024-01-01,20,UNKNOWN,43171
2024-01-01,22,UNKNOWN,233
2024-02-01,1,APAC,27906
2024-02-01,2,APAC,70643
2024-02-01,4,NA,74755
2024-02-01,5,NA,98879
2024-02-01,7,APAC,25764
2024-02-01,12,EMEA,2016
2024-02-01,14,APAC,9035
2024-02-01,19,APAC,1799
2024-02-01,20,UNKNOWN,93791
2024-03-01,1,APAC,89972
2024-03-01,2,APAC,81011
2024-03-01,6,EMEA,54198
2024-03-01,7,APAC,230746
2024-03-01,10,NA,85400
2024-03-01,12,EMEA,219548
2024-03-01,19,APAC,51534
2024-03-01,20,UNKNOWN,80091
2024-03-01,21,UNKNOWN,414
2024-04-01,1,APAC,48909
2024-04-01,2,APAC,258
2024-04-01,4,NA,14555
2024-04-01,6,EMEA,51227
2024-04-01,8,APAC,774
2024-04-01,14,APAC,32
2024-04-01,15,APAC,597
2024-04-01,19,APAC,20313
2024-04-01,21,UNKNOWN,57190
2024-04-01,22,UNKNOWN,74366
2024-05-01,5,NA,29452
2024-05-01,9,EMEA,57125
2024-05-01,10,NA,54696
2024-05-01,14,APAC,330
2024-05-01,15,APAC,39243
2024-05-01,16,NA,388
2024-05-01,19,APAC,91631
2024-06-01,3,NA,66460
2024-06-01,5,NA,44414
2024-06-01,6,EMEA,30680
2024-06-01,8,APAC,322
2024-06-01,14,APAC,68625
2024-06-01,15,APAC,387
2024-06-01,20,UNKNOWN,417
