currency,day,rate_to_usd
USD,2024-01-01,1.00571
USD,2024-01-02,0.99523
USD,2024-01-03,0.99027
USD,2024-01-04,1.00435
USD,2024-01-05,0.99819
USD,2024-01-06,1.00681
USD,2024-01-07,0.99568
USD,2024-01-08,1.00768
USD,2024-01-09,0.99114
USD,2024-01-10,0.99707
USD,2024-01-11,1.00482
USD,2024-01-12,0.99004
USD,2024-01-13,1.00329
USD,2024-01-14,0.9922
USD,2024-01-15,0.99068
USD,2024-01-16,1.00813
USD,2024-01-17,0.99563
USD,2024-01-18,1.00497
USD,2024-01-19,0.9942
USD,2024-01-20,1.00196
USD,2024-01-21,1.00648
USD,2024-01-22,1.00265
USD,2024-01-23,0.99451
USD,2024-01-24,1.00971
USD,2024-01-25,1.00758
USD,2024-01-26,0.9963
USD,2024-01-27,0.99789
USD,2024-01-28,1.00232
USD,2024-01-29,0.9967
USD,2024-01-30,1.00333
USD,2024-01-31,1.00585
USD,2024-02-01,1.00946
USD,2024-02-02,1.0023
USD,2024-02-03,0.99579
USD,2024-02-04,1.00174
USD,2024-02-05,0.99447
USD,2024-02-06,1.00398
USD,2024-02-07,0.9942
USD,2024-02-08,1.00212
USD,2024-02-09,0.99146
USD,2024-02-10,0.99183
USD,2024-02-11,1.00119
USD,2024-02-12,0.99946
USD,2024-02-13,1.00798
USD,2024-02-14,1.00792
USD,2024-02-15,0.99207
USD,2024-02-16,0.99001
USD,2024-02-17,1.00193
USD,2024-02-18,0.99974
USD,2024-02-19,1.00745
USD,2024-02-20,0.99878
USD,2024-02-21,0.99402
USD,2024-02-22,1.00231
USD,2024-02-23,0.99139
USD,2024-02-24,1.00429
USD,2024-02-25,1.00388
USD,2024-02-26,1.00826
USD,2024-02-27,1.00082
USD,2024-02-28,1.00325
USD,2024-02-29,1.00726
USD,2024-03-01,0.9973
USD,2024-03-02,1.00779
USD,2024-03-03,0.99498
USD,2024-03-04,1.00265
USD,2024-03-05,0.99903
USD,2024-03-06,1.00512
USD,2024-03-07,0.99163
USD,2024-03-08,0.99773
USD,2024-03-09,1.00923
USD,2024-03-10,0.99714
USD,2024-03-11,0.99084
USD,2024-03-12,0.99066
USD,2024-03-13,0.99985
USD,2024-03-14,1.005
USD,2024-03-15,0.99537
USD,2024-03-16,1.00811
USD,2024-03-17,1.00756
USD,2024-03-18,0.99411
USD,2024-03-19,0.99593
USD,2024-03-20,0.99496
USD,2024-03-21,1.00233
USD,2024-03-22,1.00595
USD,2024-03-23,1.00703
USD,2024-03-24,1.0006
USD,2024-03-25,1.00438
USD,2024-03-26,1.00316
USD,2024-03-27,1.00154
USD,2024-03-28,1.00194
USD,2024-03-29,0.99057
USD,2024-03-30,1.00839
USD,2024-03-31,1.00595
USD,2024-04-01,0.99078
USD,2024-04-02,1.0048
USD,2024-04-03,1.00307
USD,2024-04-04,0.99831
USD,2024-04-05,0.99271
USD,2024-04-06,1.00021
USD,2024-04-07,0.99873
USD,2024-04-08,1.00774
USD,2024-04-09,0.99056
USD,2024-04-10,0.9958
USD,2024-04-11,0.99285
USD,2024-04-12,1.00415
USD,2024-04-13,1.0015
USD,2024-04-14,0.99108
USD,2024-04-15,0.99707
USD,2024-04-16,1.00573
USD,2024-04-17,0.9921
USD,2024-04-18,0.99896
USD,2024-04-19,0.99256
USD,2024-04-20,0.99551
USD,2024-04-21,1.00042
USD,2024-04-22,1.00683
USD,2024-04-23,1.00098
USD,2024-04-24,1.00143
USD,2024-04-25,0.99883
USD,2024-04-26,0.99447
USD,2024-04-27,0.9999
USD,2024-04-28,0.9953
USD,2024-04-29,0.99182
USD,2024-04-30,0.9948
USD,2024-05-01,1.00857
USD,2024-05-02,1.00687
USD,2024-05-03,0.99003
USD,2024-05-04,1.00592
USD,2024-05-05,1.00935
USD,2024-05-06,0.99069
USD,2024-05-07,1.00368
USD,2024-05-08,1.00953
USD,2024-05-09,1.00137
USD,2024-05-10,1.00245
USD,2024-05-11,1.00135
USD,2024-05-12,1.00414
USD,2024-05-13,1.00203
USD,2024-05-14,0.99677
USD,2024-05-15,1.00804
USD,2024-05-16,1.00937
USD,2024-05-17,0.99855
USD,2024-05-18,0.99528
USD,2024-05-19,1.00776
USD,2024-05-20,0.99844
USD,2024-05-21,0.99541
USD,2024-05-22,1.00092
USD,2024-05-23,0.99151
USD,2024-05-24,0.99049
USD,2024-05-25,0.99074
USD,2024-05-26,1.00963
USD,2024-05-27,0.99947
USD,2024-05-28,0.99916
USD,2024-05-29,0.99323
USD,2024-05-30,1.00324
USD,2024-05-31,1.00752
USD,2024-06-01,0.99351
USD,2024-06-02,1.00147
USD,2024-06-03,1.00372
USD,2024-06-04,0.9959
USD,2024-06-05,0.99843
USD,2024-06-06,0.99301
USD,2024-06-07,0.99567
USD,2024-06-08,0.99229
USD,2024-06-09,1.00545
USD,2024-06-10,0.99823
USD,2024-06-11,0.99784
USD,2024-06-12,0.99531
USD,2024-06-13,0.99822
USD,2024-06-14,1.00835
USD,2024-06-15,0.99756
USD,2024-06-16,0.99711
USD,2024-06-17,1.00241
USD,2024-06-18,0.99173
USD,2024-06-19,1.00254
USD,2024-06-20,1.00647
USD,2024-06-21,1.00325
USD,2024-06-22,1.00672
USD,2024-06-23,1.00482
USD,2024-06-24,1.00654
USD,2024-06-25,0.99682
USD,2024-06-26,1.00367
USD,2024-06-27,0.99435
USD,2024-06-28,1.00872
USD,2024-06-29,1.00396
USD,2024-06-30,0.99214
USD,2024-07-01,1.00803
USD,2024-07-02,1.00192
USD,2024-07-03,0.9933
USD,2024-07-04,1.00512
USD,2024-07-05,0.9962
USD,2024-07-06,1.00716
USD,2024-07-07,0.99129
USD,2024-07-08,1.00874
EUR,2024-01-01,1.090141
EUR,2024-01-02,1.088154
EUR,2024-01-03,1.082009
EUR,2024-01-04,1.072894
EUR,2024-01-05,1.076198
EUR,2024-01-08,1.081987
EUR,2024-01-09,1.07649
EUR,2024-01-10,1.082473
EUR,2024-01-11,1.06947
EUR,2024-01-12,1.072548
EUR,2024-01-15,1.069913
EUR,2024-01-16,1.081361
EUR,2024-01-17,1.072278
EUR,2024-01-18,1.086448
EUR,2024-01-19,1.090422
EUR,2024-01-22,1.071468
EUR,2024-01-23,1.077538
EUR,2024-01-24,1.084633
EUR,2024-01-25,1.086772
EUR,2024-01-26,1.090271
EUR,2024-01-29,1.075712
EUR,2024-01-30,1.074557
EUR,2024-01-31,1.072051
EUR,2024-02-01,1.083218
EUR,2024-02-02,1.090282
EUR,2024-02-05,1.075961
EUR,2024-02-06,1.088737
EUR,2024-02-07,1.072926
EUR,2024-02-08,1.083791
EUR,2024-02-09,1.075993
EUR,2024-02-12,1.071554
EUR,2024-02-13,1.076846
EUR,2024-02-14,1.074071
EUR,2024-02-15,1.090627
EUR,2024-02-16,1.084147
EUR,2024-02-19,1.087052
EUR,2024-02-20,1.077829
EUR,2024-02-21,1.087679
EUR,2024-02-22,1.072148
EUR,2024-02-23,1.087214
EUR,2024-02-26,1.086782
EUR,2024-02-27,1.083758
EUR,2024-02-28,1.082743
EUR,2024-02-29,1.079222
EUR,2024-03-01,1.074244
EUR,2024-03-04,1.085152
EUR,2024-03-05,1.09012
EUR,2024-03-06,1.083186
EUR,2024-03-07,1.072073
EUR,2024-03-08,1.087787
EUR,2024-03-11,1.071727
EUR,2024-03-12,1.069556
EUR,2024-03-13,1.07879
EUR,2024-03-14,1.081544
EUR,2024-03-15,1.069513
EUR,2024-03-18,1.089925
EUR,2024-03-19,1.078866
EUR,2024-03-20,1.08054
EUR,2024-03-21,1.080302
EUR,2024-03-22,1.082516
EUR,2024-03-25,1.086156
EUR,2024-03-26,1.088791
EUR,2024-03-27,1.080389
EUR,2024-03-28,1.079644
EUR,2024-03-29,1.077667
EUR,2024-04-01,1.083726
EUR,2024-04-02,1.089374
EUR,2024-04-03,1.086923
EUR,2024-04-04,1.089968
EUR,2024-04-05,1.080324
EUR,2024-04-08,1.075745
EUR,2024-04-09,1.088921
EUR,2024-04-10,1.087506
EUR,2024-04-11,1.075756
EUR,2024-04-12,1.082592
EUR,2024-04-15,1.075961
EUR,2024-04-16,1.085789
EUR,2024-04-17,1.088348
EUR,2024-04-18,1.076771
EUR,2024-04-19,1.072872
EUR,2024-04-22,1.081123
EUR,2024-04-23,1.074632
EUR,2024-04-24,1.078628
EUR,2024-04-25,1.086534
EUR,2024-04-26,1.087906
EUR,2024-04-29,1.07069
EUR,2024-04-30,1.077894
EUR,2024-05-01,1.078056
EUR,2024-05-02,1.082495
EUR,2024-05-03,1.087884
EUR,2024-05-06,1.074503
EUR,2024-05-07,1.079611
EUR,2024-05-08,1.088921
EUR,2024-05-09,1.074611
EUR,2024-05-10,1.07379
EUR,2024-05-13,1.072051
EUR,2024-05-14,1.069924
EUR,2024-05-15,1.080864
EUR,2024-05-16,1.090271
EUR,2024-05-17,1.07474
EUR,2024-05-20,1.08256
EUR,2024-05-21,1.084158
EUR,2024-05-22,1.078877
EUR,2024-05-23,1.076036
EUR,2024-05-24,1.078812
EUR,2024-05-27,1.080832
EUR,2024-05-28,1.090141
EUR,2024-05-29,1.079924
EUR,2024-05-30,1.079989
EUR,2024-05-31,1.084838
EUR,2024-06-03,1.081944
EUR,2024-06-04,1.087042
EUR,2024-06-05,1.085594
EUR,2024-06-06,1.071749
EUR,2024-06-07,1.080788
EUR,2024-06-10,1.081933
EUR,2024-06-11,1.07163
EUR,2024-06-12,1.083964
EUR,2024-06-13,1.076436
EUR,2024-06-14,1.069816
EUR,2024-06-17,1.087204
EUR,2024-06-18,1.082279
EUR,2024-06-19,1.083056
