month,customer_id,region,net_usd_cents
2024-01-01,1,EMEA,68641
2024-01-01,2,APAC,290
2024-01-01,3,EMEA,353
2024-01-01,7,NA,201
2024-01-01,8,NA,55130
2024-01-01,10,NA,79919
2024-01-01,11,APAC,14120
2024-01-01,12,APAC,13615
2024-01-01,13,APAC,46895
2024-01-01,15,APAC,56221
2024-01-01,16,EMEA,13030
2024-01-01,17,APAC,95495
2024-01-01,19,UNKNOWN,39926
2024-02-01,3,EMEA,82450
2024-02-01,4,EMEA,38700
2024-02-01,6,NA,48637
2024-02-01,9,NA,26969
2024-02-01,10,NA,36597
2024-02-01,11,APAC,76644
2024-02-01,13,APAC,2657
2024-02-01,14,EMEA,80706
2024-02-01,16,EMEA,26698
2024-02-01,18,APAC,42709
2024-02-01,21,UNKNOWN,50
2024-03-01,1,EMEA,44516
2024-03-01,3,EMEA,42738
2024-03-01,5,NA,1042
2024-03-01,6,NA,140224
2024-03-01,7,NA,1
2024-03-01,8,NA,74700
2024-03-01,9,NA,513
2024-03-01,11,APAC,176
2024-03-01,12,APAC,136090
2024-03-01,14,EMEA,66435
2024-03-01,17,APAC,82378
2024-03-01,18,APAC,40905
2024-03-01,20,UNKNOWN,105931
2024-03-01,21,UNKNOWN,339
2024-04-01,1,EMEA,82528
2024-04-01,3,EMEA,72606
2024-04-01,5,NA,36543
2024-04-01,8,NA,72584
2024-04-01,9,NA,55200
2024-04-01,11,APAC,6588
2024-04-01,13,APAC,19872
2024-04-01,14,EMEA,182381
2024-04-01,17,APAC,5602
2024-04-01,18,APAC,36323
2024-04-01,20,UNKNOWN,24252
2024-04-01,21,UNKNOWN,31192
2024-05-01,5,NA,75776
2024-05-01,6,NA,187000
2024-05-01,8,NA,44207
2024-05-01,9,NA,46925
2024-05-01,10,NA,77102
2024-05-01,12,APAC,20959
2024-05-01,13,APAC,4946
2024-05-01,15,APAC,67977
2024-05-01,16,EMEA,75533
2024-05-01,20,UNKNOWN,312
2024-06-01,1,EMEA,106447
2024-06-01,2,APAC,91207
2024-06-01,3,EMEA,116
2024-06-01,4,EMEA,153530
2024-06-01,6,NA,2649
2024-06-01,8,NA,66549
2024-06-01,13,APAC,35263
2024-06-01,15,APAC,35932
2024-06-01,16,EMEA,408
2024-06-01,17,APAC,232
2024-06-01,19,UNKNOWN,3867
