currency,day,rate_to_usd
USD,2024-01-01,0.99484
USD,2024-01-02,1.00971
USD,2024-01-03,0.99782
USD,2024-01-04,0.99212
USD,2024-01-05,0.99637
USD,2024-01-06,0.99906
USD,2024-01-07,0.99763
USD,2024-01-08,1.00612
USD,2024-01-09,0.99538
USD,2024-01-10,0.99928
USD,2024-01-11,1.00666
USD,2024-01-12,1.00919
USD,2024-01-13,1.00058
USD,2024-01-14,1.00313
USD,2024-01-15,1.00958
USD,2024-01-16,1.0035
USD,2024-01-17,1.00354
USD,2024-01-18,0.9919
USD,2024-01-19,1.0057
USD,2024-01-20,0.99831
USD,2024-01-21,1.00509
USD,2024-01-22,0.99013
USD,2024-01-23,0.99451
USD,2024-01-24,0.99865
USD,2024-01-25,0.99346
USD,2024-01-26,0.99233
USD,2024-01-27,1.006
USD,2024-01-28,0.99885
USD,2024-01-29,1.00346
USD,2024-01-30,1.0013
USD,2024-01-31,1.00722
USD,2024-02-01,0.99968
USD,2024-02-02,0.99354
USD,2024-02-03,1.00884
USD,2024-02-04,0.99465
USD,2024-02-05,0.99801
USD,2024-02-06,1.00261
USD,2024-02-07,0.99871
USD,2024-02-08,1.00139
USD,2024-02-09,1.00925
USD,2024-02-10,1.0003
USD,2024-02-11,1.00696
USD,2024-02-12,0.99381
USD,2024-02-13,0.99716
USD,2024-02-14,0.99916
USD,2024-02-15,1.0
USD,2024-02-16,0.99477
USD,2024-02-17,0.99977
USD,2024-02-18,1.00455
USD,2024-02-19,0.99242
USD,2024-02-20,0.99075
USD,2024-02-21,0.99316
USD,2024-02-22,0.99767
USD,2024-02-23,0.99111
USD,2024-02-24,1.00011
USD,2024-02-25,1.00395
USD,2024-02-26,0.99856
USD,2024-02-27,1.00723
USD,2024-02-28,0.99672
USD,2024-02-29,1.00711
USD,2024-03-01,1.00546
USD,2024-03-02,0.99012
USD,2024-03-03,0.99667
USD,2024-03-04,1.00956
USD,2024-03-05,1.00932
USD,2024-03-06,0.99936
USD,2024-03-07,1.00266
USD,2024-03-08,0.99118
USD,2024-03-09,0.99791
USD,2024-03-10,1.00824
USD,2024-03-11,0.99432
USD,2024-03-12,1.00492
USD,2024-03-13,1.00247
USD,2024-03-14,0.99954
USD,2024-03-15,0.99031
USD,2024-03-16,1.00645
USD,2024-03-17,0.99258
USD,2024-03-18,1.00274
USD,2024-03-19,0.99751
USD,2024-03-20,1.00975
USD,2024-03-21,1.00995
USD,2024-03-22,1.00582
USD,2024-03-23,0.99203
USD,2024-03-24,1.00559
USD,2024-03-25,0.99144
USD,2024-03-26,0.99682
USD,2024-03-27,0.99627
USD,2024-03-28,0.99154
USD,2024-03-29,0.99004
USD,2024-03-30,1.00528
USD,2024-03-31,0.99554
USD,2024-04-01,1.00511
USD,2024-04-02,0.9937
USD,2024-04-03,0.99468
USD,2024-04-04,1.00796
USD,2024-04-05,0.99872
USD,2024-04-06,0.99216
USD,2024-04-07,1.00021
USD,2024-04-08,0.99254
USD,2024-04-09,1.00038
USD,2024-04-10,0.99432
USD,2024-04-11,1.00362
USD,2024-04-12,1.00264
USD,2024-04-13,0.99619
USD,2024-04-14,0.99415
USD,2024-04-15,1.00015
USD,2024-04-16,0.99327
USD,2024-04-17,1.00146
USD,2024-04-18,0.99407
USD,2024-04-19,0.99907
USD,2024-04-20,1.00448
USD,2024-04-21,1.00682
USD,2024-04-22,0.99287
USD,2024-04-23,1.0067
USD,2024-04-24,0.9965
USD,2024-04-25,0.99571
USD,2024-04-26,1.00015
USD,2024-04-27,0.99367
USD,2024-04-28,1.00156
USD,2024-04-29,0.99761
USD,2024-04-30,1.00624
USD,2024-05-01,0.99051
