payment_id,customer_id,paid_at,amount_cents,currency,method
9000,15,2024-03-21 00:00:00,118768,USD,ach
9001,18,2024-06-01 08:00:00,95913,USD,ach
9002,3,2024-05-31 20:00:00,10837,JPY,wire
9003,22,2024-02-23 17:00:00,16430,GBP,ach
9004,10,2024-06-09 12:00:00,144760,USD,wire
9005,1,2024-05-13 22:00:00,126129,GBP,card
9006,9,2024-01-28 22:00:00,126055,USD,ach
9007,8,2024-02-21 06:00:00,30022,GBP,ach
9008,14,2024-04-11 16:00:00,7002,USD,ach
9009,25,2024-06-28 21:00:00,134983,EUR,card
9010,4,2024-02-14 19:00:00,101442,USD,ach
9011,20,2024-05-01 20:00:00,11485,USD,card
9012,4,2024-03-04 22:00:00,120630,USD,ach
9013,27,2024-02-08 18:00:00,14982,GBP,card
9014,16,2024-04-26 17:00:00,37788,JPY,wire
9015,18,2024-05-12 12:00:00,21458,USD,card
9016,16,2024-05-12 07:00:00,29054,USD,card
9017,27,2024-03-09 01:00:00,57956,EUR,ach
9018,6,2024-01-30 02:00:00,131199,EUR,card
9019,16,2024-02-19 03:00:00,85427,USD,ach
9020,13,2024-05-12 03:00:00,123725,USD,card
9021,14,2024-03-23 18:00:00,19548,USD,wire
9022,24,2024-04-05 05:00:00,48674,USD,card
9023,2,2024-04-04 15:00:00,121370,USD,card
9024,9,2024-05-24 06:00:00,8988,JPY,wire
9025,10,2024-01-30 07:00:00,66753,JPY,wire
9026,7,2024-04-20 01:00:00,74295,JPY,ach
9027,5,2024-05-03 00:00:00,8367,EUR,card
9028,4,2024-06-07 21:00:00,49603,GBP,ach
9029,16,2024-01-07 10:00:00,69161,JPY,card
9030,17,2024-01-28 21:00:00,113658,EUR,ach
9031,8,2024-02-16 10:00:00,21614,GBP,ach
9032,1,2024-03-24 00:00:00,21263,EUR,ach
9033,13,2024-02-29 12:00:00,6707,EUR,card
9034,5,2024-06-21 07:00:00,124619,JPY,card
9035,9,2024-06-04 23:00:00,5054,USD,card
9036,7,2024-03-27 10:00:00,148597,EUR,wire
9037,21,2024-04-03 01:00:00,36574,USD,card
9038,12,2024-04-02 11:00:00,82611,GBP,card
9039,26,2024-01-19 10:00:00,34674,USD,card
9040,18,2024-05-22 12:00:00,43426,GBP,ach
9041,24,2024-06-05 20:00:00,29042,EUR,ach
9042,4,2024-04-25 13:00:00,118657,JPY,card
9043,16,2024-02-06 08:00:00,129872,EUR,ach
9044,22,2024-04-15 12:00:00,10592,USD,wire
9045,28,2024-03-30 06:00:00,100592,GBP,wire
9046,17,2024-04-20 18:00:00,124477,EUR,ach
9047,15,2024-05-23 04:00:00,128910,JPY,card
9048,11,2024-02-14 16:00:00,52679,GBP,card
9049,11,2024-03-21 16:00:00,107000,GBP,ach
9050,1,2024-05-23 11:00:00,139234,GBP,wire
9051,11,2024-05-16 06:00:00,59863,USD,wire
9052,18,2024-05-11 11:00:00,9531,GBP,ach
9053,8,2024-05-02 20:00:00,97817,USD,wire
9054,17,2024-01-05 04:00:00,7982,GBP,card
9055,7,2024-02-13 03:00:00,108166,GBP,ach
9056,20,2024-06-17 15:00:00,126530,JPY,ach
9057,20,2024-03-24 11:00:00,20012,GBP,wire
9058,18,2024-05-16 04:00:00,38176,JPY,ach
9059,28,2024-06-03 06:00:00,99267,JPY,card
9060,22,2024-04-19 08:00:00,141230,JPY,ach
9061,13,2024-06-13 00:00:00,121365,JPY,wire
9062,21,2024-02-09 19:00:00,13383,JPY,ach
9063,25,2024-04-23 13:00:00,17617,JPY,card
9064,27,2024-01-03 02:00:00,68225,EUR,ach
9065,18,2024-04-19 20:00:00,44588,USD,ach
9066,1,2024-01-09 23:00:00,110255,GBP,ach
9067,1,2024-01-31 23:00:00,105712,USD,card
9068,9,2024-01-11 02:00:00,53423,JPY,ach
9069,23,2024-03-08 02:00:00,75168,GBP,ach
9070,1,2024-06-14 20:00:00,124175,GBP,wire
