customer_id,region,tier,signed_up_at
1,NA,plus,2024-01-16
2,NA,plus,2024-03-11
3,NA,internal,2024-03-12
4,NA,plus,2024-03-21
5,NA,standard,2024-04-18
6,EMEA,plus,2024-01-23
7,EMEA,internal,2024-04-19
8,NA,plus,2024-02-19
9,EMEA,plus,2024-01-13
10,EMEA,plus,2024-04-10
11,NA,standard,2024-01-04
12,APAC,standard,2024-03-15
13,EMEA,standard,2024-01-23
14,APAC,plus,2024-02-19
15,APAC,plus,2024-01-27
16,NA,plus,2024-02-19
17,NA,plus,2024-01-29
18,APAC,plus,2024-01-21
19,EMEA,standard,2024-03-07
20,APAC,plus,2024-02-24
21,APAC,plus,2024-03-21
22,EMEA,standard,2024-03-23
23,APAC,standard,2024-04-27
24,NA,plus,2024-03-10
25,APAC,standard,2024-02-03
