month,customer_id,region,recognised_usd_cents,orders_recognised
2024-01-01,1,NA,64722,2
2024-01-01,6,EMEA,100989,2
2024-01-01,9,EMEA,106361,3
2024-01-01,17,NA,114795,5
2024-01-01,26,UNKNOWN,19743,3
2024-01-01,27,UNKNOWN,653,2
2024-02-01,8,NA,13141,1
2024-02-01,11,NA,22719,4
2024-02-01,16,NA,96128,4
2024-03-01,4,NA,172292,3
2024-03-01,15,APAC,32111,2
2024-03-01,20,APAC,763,2
2024-03-01,23,APAC,36298,4
2024-03-01,28,UNKNOWN,1468,4
2024-04-01,2,NA,118295,3
2024-04-01,12,APAC,104008,5
2024-04-01,21,APAC,32960,1
2024-05-01,8,NA,88186,4
2024-05-01,13,EMEA,30477,1
2024-05-01,18,APAC,85234,2
2024-06-01,10,EMEA,118432,5
2024-06-01,18,APAC,128536,3
2024-06-01,24,NA,77349,1
2024-06-01,25,APAC,106382,2
