refund_id,order_id,refunded_at,amount_cents
5000,1010,2024-04-30 13:09:00,36160
5001,1011,2024-03-07 19:01:00,4596
5002,1012,2024-06-18 16:35:00,47561
5003,1013,2024-04-25 22:12:00,5684
5004,1017,2024-03-10 08:47:00,21718
5005,1025,2024-05-07 10:52:00,16771
5006,1028,2024-04-12 23:09:00,19816
5007,1035,2024-02-07 01:22:00,25690
5008,1051,2024-06-28 07:27:00,14429
5009,1052,2024-02-25 21:17:00,29183
5010,1056,2024-03-15 08:16:00,35666
5011,1056,2024-03-07 13:16:00,23646
5012,1059,2024-04-22 15:22:00,13231
5013,1061,2024-07-26 15:32:00,86215
5014,1063,2024-02-29 04:27:00,29739
5015,1070,2024-02-11 13:01:00,60587
5016,1077,2024-06-05 07:26:00,26847
5017,1077,2024-05-25 12:26:00,17838
5018,1079,2024-05-21 14:53:00,48671
5019,1083,2024-07-03 01:30:00,21613
5020,1084,2024-01-28 16:44:00,27909
5021,1085,2024-03-18 12:28:00,68008
5022,1086,2024-03-27 20:52:00,56368
5023,1088,2024-03-16 23:50:00,2274
5024,1099,2024-03-06 16:41:00,8127
5025,1101,2024-05-15 18:55:00,10122
5026,1103,2024-02-27 03:12:00,9682
5027,1107,2024-01-25 11:54:00,7627
5028,1120,2024-04-02 11:31:00,27319
5029,1121,2024-04-03 18:39:00,16856
5030,1123,2024-03-28 23:02:00,67428
5031,1125,2024-02-19 20:49:00,22932
5032,1126,2024-04-18 22:00:00,3071
5033,1128,2024-03-27 20:55:00,12701
5034,1131,2024-07-24 03:51:00,34576
5035,1135,2024-02-23 10:50:00,5455
5036,1136,2024-04-01 09:14:00,18519
5037,1138,2024-03-21 18:15:00,49728
5038,1144,2024-04-29 15:45:00,26108
5039,1146,2024-03-28 13:49:00,69473
5040,1162,2024-05-18 12:39:00,43016
5041,1170,2024-03-20 08:20:00,1175
5042,1171,2024-01-29 06:15:00,16230
5043,1172,2024-06-25 21:41:00,22032
5044,1173,2024-05-21 00:05:00,10368
5045,1174,2024-04-20 12:26:00,540
5046,1178,2024-04-24 23:11:00,13665
5047,1189,2024-04-12 04:55:00,62396
5048,1190,2024-07-17 03:24:00,37797
5049,1194,2024-05-20 09:06:00,27366
5050,1196,2024-02-10 05:26:00,6800
5051,1197,2024-04-29 21:33:00,65081
