month,customer_id,region,recognised_usd_cents,orders_recognised
2024-01-01,2,EMEA,564,1
2024-01-01,4,APAC,157328,6
2024-01-01,12,NA,87706,3
2024-01-01,16,NA,85969,3
2024-01-01,20,UNKNOWN,107054,3
2024-01-01,22,UNKNOWN,57109,2
2024-02-01,6,APAC,86528,4
2024-02-01,11,NA,95465,1
2024-02-01,15,EMEA,6,1
2024-03-01,3,APAC,8392,1
2024-03-01,20,UNKNOWN,103677,5
2024-03-01,22,UNKNOWN,93396,3
2024-04-01,7,EMEA,49824,1
2024-04-01,15,EMEA,38329,1
2024-04-01,17,NA,108520,4
2024-05-01,1,APAC,38366,1
2024-05-01,12,NA,39959,1
2024-05-01,21,UNKNOWN,109487,5
2024-06-01,3,APAC,46695,3
2024-06-01,8,NA,135537,3
