month,customer_id,region,net_usd_cents
2024-01-01,1,EMEA,152639
2024-01-01,5,APAC,16
2024-01-01,7,EMEA,51202
2024-01-01,8,EMEA,92823
2024-01-01,9,NA,519
2024-01-01,12,APAC,311
2024-01-01,14,APAC,49896
2024-01-01,15,EMEA,269
2024-01-01,16,APAC,75881
2024-01-01,17,NA,131783
2024-01-01,19,EMEA,89
2024-01-01,20,NA,3820
2024-01-01,21,UNKNOWN,41876
2024-02-01,3,APAC,71524
2024-02-01,5,APAC,89560
2024-02-01,7,EMEA,60198
2024-02-01,8,EMEA,60199
2024-02-01,9,NA,16791
2024-02-01,10,EMEA,90532
2024-02-01,11,NA,466
2024-02-01,12,APAC,69961
2024-02-01,13,APAC,9411
2024-02-01,15,EMEA,5752
2024-02-01,18,NA,29665
2024-02-01,19,EMEA,203497
2024-02-01,20,NA,102884
2024-02-01,21,UNKNOWN,53378
2024-02-01,22,UNKNOWN,90752
2024-03-01,1,EMEA,73589
2024-03-01,2,APAC,37657
2024-03-01,3,APAC,48514
2024-03-01,6,NA,291
2024-03-01,7,EMEA,18607
2024-03-01,9,NA,92198
2024-03-01,11,NA,75618
2024-03-01,13,APAC,92727
2024-03-01,14,APAC,91231
2024-03-01,15,EMEA,83342
2024-03-01,17,NA,35989
2024-03-01,18,NA,5108
2024-03-01,19,EMEA,64677
2024-03-01,21,UNKNOWN,89
2024-04-01,1,EMEA,98226
2024-04-01,2,APAC,466
2024-04-01,3,APAC,16263
2024-04-01,5,APAC,17650
2024-04-01,6,NA,51191
2024-04-01,7,EMEA,78211
2024-04-01,9,NA,10891
2024-04-01,10,EMEA,70
2024-04-01,11,NA,2930
2024-04-01,12,APAC,76907
2024-04-01,14,APAC,1246
2024-04-01,15,EMEA,174922
2024-04-01,16,APAC,85740
2024-04-01,18,NA,94540
2024-04-01,19,EMEA,66768
2024-04-01,22,UNKNOWN,44945
2024-04-01,23,UNKNOWN,898
2024-05-01,1,EMEA,16453
2024-05-01,6,NA,56679
2024-05-01,8,EMEA,11842
2024-05-01,10,EMEA,142721
2024-05-01,11,NA,39271
2024-05-01,12,APAC,67669
2024-05-01,13,APAC,24432
2024-05-01,15,EMEA,189868
2024-05-01,16,APAC,59209
2024-05-01,17,NA,113294
2024-05-01,18,NA,73106
2024-05-01,19,EMEA,24039
2024-05-01,22,UNKNOWN,99729
2024-06-01,1,EMEA,73802
2024-06-01,6,NA,71641
2024-06-01,8,EMEA,43793
2024-06-01,9,NA,66051
2024-06-01,12,APAC,71047
2024-06-01,14,APAC,93047
2024-06-01,18,NA,383
2024-06-01,20,NA,27558
