payment_id,customer_id,paid_at,amount_cents,currency,method
9000,5,2024-04-07 02:00:00,105534,JPY,card
9001,21,2024-02-27 16:00:00,65247,GBP,wire
9002,13,2024-04-05 08:00:00,62109,USD,card
9003,14,2024-04-03 03:00:00,134175,EUR,card
9004,13,2024-01-16 00:00:00,75691,GBP,wire
9005,23,2024-01-21 05:00:00,89705,USD,card
9006,5,2024-02-13 01:00:00,98756,EUR,wire
9007,13,2024-04-13 04:00:00,47531,GBP,ach
9008,7,2024-06-07 22:00:00,37284,USD,wire
9009,11,2024-04-09 08:00:00,101561,EUR,ach
9010,7,2024-05-29 06:00:00,75498,USD,wire
9011,5,2024-05-13 08:00:00,55551,USD,ach
9012,8,2024-04-26 09:00:00,114901,GBP,wire
9013,10,2024-01-23 01:00:00,86891,GBP,wire
9014,3,2024-05-02 05:00:00,90112,EUR,ach
9015,23,2024-02-09 14:00:00,83160,EUR,wire
9016,8,2024-05-13 20:00:00,125067,EUR,ach
9017,13,2024-01-26 05:00:00,24610,GBP,card
9018,17,2024-05-06 17:00:00,47017,EUR,ach
9019,16,2024-02-06 23:00:00,75041,JPY,wire
9020,8,2024-04-13 01:00:00,39616,GBP,ach
9021,18,2024-06-22 12:00:00,1905,EUR,ach
9022,10,2024-03-24 22:00:00,79635,EUR,wire
9023,4,2024-04-04 18:00:00,101508,EUR,wire
9024,7,2024-05-18 14:00:00,53005,USD,ach
9025,13,2024-03-04 18:00:00,67095,USD,wire
9026,11,2024-06-19 10:00:00,125865,JPY,ach
9027,21,2024-06-11 11:00:00,87199,EUR,card
9028,20,2024-05-03 15:00:00,116376,JPY,card
9029,9,2024-05-09 04:00:00,7767,GBP,card
9030,17,2024-05-03 18:00:00,69932,USD,wire
9031,4,2024-03-21 23:00:00,47228,JPY,card
9032,1,2024-07-03 19:00:00,66053,JPY,card
9033,19,2024-06-27 12:00:00,105936,GBP,ach
9034,16,2024-03-14 12:00:00,95643,JPY,ach
9035,3,2024-06-15 20:00:00,70000,EUR,wire
9036,11,2024-01-13 03:00:00,20695,USD,ach
9037,6,2024-06-20 13:00:00,37790,GBP,wire
9038,10,2024-05-16 11:00:00,34786,EUR,card
9039,8,2024-06-26 09:00:00,135754,GBP,wire
9040,3,2024-06-17 04:00:00,122593,GBP,card
9041,12,2024-03-16 01:00:00,61625,GBP,wire
9042,16,2024-03-11 11:00:00,24946,USD,card
9043,7,2024-02-25 00:00:00,100989,EUR,wire
9044,22,2024-02-09 14:00:00,143644,EUR,wire
9045,13,2024-01-11 16:00:00,109130,EUR,wire
9046,9,2024-06-25 12:00:00,116477,JPY,wire
9047,21,2024-04-30 15:00:00,23340,EUR,card
9048,19,2024-01-14 19:00:00,81831,USD,ach
9049,16,2024-06-22 09:00:00,107965,GBP,card
9050,17,2024-06-09 23:00:00,3721,JPY,ach
9051,6,2024-05-13 15:00:00,78262,USD,ach
9052,2,2024-04-17 10:00:00,104520,USD,card
9053,15,2024-04-22 13:00:00,94218,EUR,card
9054,14,2024-03-30 18:00:00,86835,EUR,wire
9055,16,2024-05-08 03:00:00,78712,EUR,card
9056,15,2024-06-01 01:00:00,117448,JPY,card
9057,12,2024-06-29 15:00:00,136741,JPY,wire
9058,8,2024-01-14 04:00:00,30864,JPY,wire
9059,4,2024-06-19 21:00:00,57154,GBP,ach
9060,23,2024-06-11 18:00:00,114073,USD,card
9061,5,2024-07-01 05:00:00,84940,EUR,wire
9062,14,2024-05-24 03:00:00,99557,GBP,ach
9063,5,2024-03-16 14:00:00,48385,EUR,ach
9064,1,2024-06-14 16:00:00,55574,USD,card
9065,23,2024-04-30 06:00:00,43036,JPY,wire
9066,22,2024-01-10 05:00:00,94031,GBP,wire
9067,17,2024-06-04 02:00:00,124701,EUR,card
9068,4,2024-04-16 06:00:00,114577,EUR,card
9069,19,2024-04-07 22:00:00,148120,USD,wire
9070,12,2024-02-17 18:00:00,85753,GBP,card
9071,9,2024-03-26 02:00:00,140698,JPY,wire
