refund_id,order_id,refunded_at,amount_cents
5000,1022,2024-05-01 03:25:00,26907
5001,1025,2024-05-12 16:53:00,78957
5002,1027,2024-03-08 11:34:00,29591
5003,1035,2024-04-28 23:18:00,5210
5004,1039,2024-06-24 03:34:00,16666
5005,1041,2024-05-31 10:30:00,14002
5006,1042,2024-04-24 05:42:00,7058
5007,1046,2024-04-27 18:21:00,7015
5008,1050,2024-05-03 14:19:00,24428
5009,1053,2024-01-30 19:26:00,5295
5010,1061,2024-02-15 12:26:00,20768
5011,1066,2024-06-05 00:13:00,34344
5012,1067,2024-05-27 07:23:00,10823
5013,1070,2024-03-07 11:24:00,2901
5014,1077,2024-05-11 15:36:00,9439
5015,1079,2024-05-08 16:48:00,65384
5016,1088,2024-05-19 06:05:00,8157
5017,1089,2024-05-16 16:58:00,6001
5018,1099,2024-04-25 09:08:00,18004
5019,1103,2024-02-28 13:22:00,75075
5020,1104,2024-03-28 07:06:00,2280
5021,1108,2024-06-06 20:25:00,76971
5022,1109,2024-02-10 22:57:00,18044
5023,1113,2024-04-01 15:28:00,12962
5024,1115,2024-04-09 01:53:00,63016
5025,1121,2024-03-12 05:43:00,25984
5026,1123,2024-04-24 02:25:00,38188
5027,1135,2024-03-11 18:55:00,21681
5028,1136,2024-02-07 05:43:00,34592
5029,1141,2024-02-27 15:24:00,7511
5030,1148,2024-04-13 21:50:00,80446
5031,1151,2024-05-09 08:07:00,72517
5032,1157,2024-05-14 05:53:00,14977
5033,1167,2024-03-29 23:45:00,39054
5034,1172,2024-07-27 17:53:00,28306
5035,1179,2024-04-22 06:03:00,4489
5036,1180,2024-05-20 18:12:00,4943
5037,1183,2024-04-26 13:59:00,56507
5038,1184,2024-05-09 01:03:00,40033
5039,1188,2024-01-19 07:22:00,3850
