customer_id,region,tier,signed_up_at
1,APAC,standard,2024-04-26
2,APAC,standard,2024-03-22
3,APAC,standard,2024-01-20
4,NA,plus,2024-01-13
5,EMEA,standard,2024-01-23
6,NA,standard,2024-04-22
7,APAC,standard,2024-03-31
8,APAC,internal,2024-02-22
9,APAC,standard,2024-01-26
10,EMEA,plus,2024-01-02
11,EMEA,standard,2024-03-24
12,NA,plus,2024-03-18
13,APAC,plus,2024-01-19
14,NA,standard,2024-03-23
15,NA,standard,2024-02-26
16,APAC,standard,2024-04-12
17,NA,standard,2024-03-25
18,EMEA,plus,2024-02-09
19,EMEA,plus,2024-04-22
20,NA,standard,2024-03-14
21,NA,plus,2024-03-22
22,NA,standard,2024-03-30
23,EMEA,standard,2024-03-05
24,EMEA,standard,2024-01-28
25,NA,standard,2024-04-29
26,EMEA,plus,2024-03-22
