order_id,customer_id,placed_at,amount_cents,currency,status
1000,13,2024-01-12 21:27:00,5783,GBP,paid
1001,10,2024-04-20 10:38:00,38003,USD,pending
1002,2,2024-04-22 13:36:00,52168,GBP,pending
1003,7,2024-06-07 07:27:00,6019,USD,pending
1004,8,2024-02-25 18:41:00,50178,GBP,paid
1005,26,2024-01-20 13:47:00,52270,GBP,paid
1006,4,2024-01-01 05:38:00,-29472,USD,void
1007,14,2024-04-17 00:41:00,-1085,USD,settled
1008,21,2024-04-04 23:29:00,42056,EUR,pending
1009,10,2024-05-06 17:10:00,35827,USD,void
1010,26,2024-04-07 07:19:00,38220,GBP,paid
1010,26,2024-04-08 22:19:00,37848,GBP,paid
1011,25,2024-01-26 14:31:00,26489,USD,settled
1012,8,2024-06-17 04:14:00,72848,USD,paid
1013,2,2024-01-01 22:35:00,559,EUR,settled
1014,9,2024-01-29 11:07:00,10051,GBP,paid
1015,26,2024-03-09 02:45:00,19102,JPY,pending
1016,4,2024-02-14 22:12:00,5528,USD,paid
1017,19,2024-02-03 20:19:00,16833,JPY,pending
1018,2,2024-02-08 02:56:00,17057,EUR,paid
1019,28,2024-06-24 07:01:00,68474,GBP,paid
1020,2,2024-03-30 14:56:00,26840,JPY,settled
1021,25,2024-04-26 21:57:00,63032,GBP,paid
1022,29,2024-03-06 09:39:00,77354,EUR,paid
1022,29,2024-03-08 03:39:00,77192,EUR,paid
1023,2,2024-02-29 00:00:00,4708,EUR,pending
1024,17,2024-02-18 19:33:00,26962,JPY,settled
1025,7,2024-01-09 08:18:00,2749,USD,paid
1025,7,2024-01-09 22:18:00,2321,USD,paid
1026,29,2024-02-20 05:37:00,56783,EUR,paid
1027,14,2024-06-25 11:10:00,32668,GBP,paid
1028,5,2024-02-26 13:59:00,60660,USD,pending
1029,27,2024-04-21 13:51:00,33603,GBP,settled
1030,27,2024-03-08 15:48:00,12589,JPY,paid
1031,25,2024-05-19 07:25:00,16136,GBP,paid
1032,18,2024-03-21 19:49:00,70279,GBP,pending
1032,18,2024-03-21 21:49:00,70037,GBP,pending
1033,25,2024-06-28 10:29:00,21709,EUR,void
1034,17,2024-03-23 05:52:00,4804,USD,pending
1035,23,2024-02-03 13:00:00,70548,GBP,settled
1036,6,2024-05-15 22:26:00,62680,EUR,paid
1037,21,2024-01-09 09:56:00,75170,GBP,paid
1038,3,2024-02-23 16:06:00,79673,JPY,void
1039,11,2024-05-30 16:05:00,58639,GBP,paid
1040,13,2024-05-17 22:47:00,49712,JPY,paid
1041,15,2024-04-22 01:36:00,2849,USD,paid
1041,15,2024-04-23 07:36:00,2403,USD,paid
1042,5,2024-06-11 04:25:00,31674,GBP,pending
1042,5,2024-06-11 07:25:00,31534,GBP,pending
1043,17,2024-05-04 18:33:00,39589,JPY,paid
1043,17,2024-05-06 09:33:00,39288,JPY,paid
1044,10,2024-05-30 06:49:00,15673,EUR,paid
1045,21,2024-04-20 01:28:00,38093,JPY,paid
1046,16,2024-06-27 06:30:00,47984,EUR,paid
1047,12,2024-02-10 16:23:00,14942,EUR,paid
1048,18,2024-01-23 17:49:00,51645,GBP,paid
1049,9,2024-04-12 17:54:00,42894,GBP,settled
1050,1,2024-02-24 18:44:00,74413,JPY,settled
1051,18,2024-03-06 10:28:00,12639,EUR,paid
1052,26,2024-03-26 07:22:00,20582,USD,settled
1053,19,2024-02-18 02:42:00,60303,USD,paid
1054,26,2024-04-01 19:28:00,-69009,USD,pending
