refund_id,order_id,refunded_at,amount_cents
5000,1002,2024-05-13 10:36:00,26084
5001,1003,2024-06-16 13:27:00,3009
5002,1008,2024-04-08 21:29:00,21028
5003,1012,2024-06-21 19:14:00,72848
5004,1013,2024-02-09 23:35:00,279
5005,1019,2024-07-15 15:01:00,68474
5006,1021,2024-05-24 09:57:00,21010
5007,1028,2024-03-28 12:59:00,30330
5008,1041,2024-04-24 08:36:00,1424
5009,1047,2024-02-25 10:23:00,14942
5010,1048,2024-02-04 05:49:00,17215
5011,1049,2024-05-05 22:54:00,42894
5012,1055,2024-03-21 16:06:00,12816
5013,1062,2024-01-09 05:50:00,21097
5014,1063,2024-05-05 17:03:00,8538
5015,1073,2024-05-14 01:46:00,70063
5016,1088,2024-02-20 10:00:00,10669
5017,1090,2024-04-11 20:55:00,36755
5018,1091,2024-04-27 07:11:00,10327
5019,1093,2024-02-10 05:53:00,439
5020,1097,2024-02-28 15:09:00,52060
5021,1097,2024-03-26 13:09:00,17208
5022,1099,2024-02-18 07:34:00,55512
5023,1101,2024-01-02 05:54:00,36593
5024,1105,2024-06-06 01:19:00,52694
5025,1106,2024-03-06 15:36:00,40919
5026,1109,2024-03-05 17:28:00,5615
5027,1123,2024-03-19 09:35:00,87653
5028,1124,2024-05-27 14:02:00,31554
