payment_id,customer_id,paid_at,amount_cents,currency,method
9000,5,2024-05-25 19:00:00,100750,JPY,ach
9001,26,2024-04-30 13:00:00,64162,USD,ach
9002,2,2024-05-19 11:00:00,102204,GBP,wire
9003,16,2024-04-12 01:00:00,61936,USD,ach
9004,14,2024-01-14 14:00:00,4800,USD,wire
9005,8,2024-06-22 11:00:00,27394,USD,wire
9006,22,2024-05-22 16:00:00,95088,JPY,ach
9007,1,2024-01-19 19:00:00,74884,EUR,ach
9008,9,2024-06-05 04:00:00,83784,EUR,ach
9009,28,2024-01-10 23:00:00,101194,USD,card
9010,16,2024-03-04 10:00:00,141061,GBP,ach
9011,2,2024-06-10 09:00:00,23371,EUR,card
9012,23,2024-02-15 11:00:00,82371,JPY,wire
9013,6,2024-06-04 22:00:00,116054,EUR,wire
9014,9,2024-05-28 02:00:00,8533,EUR,ach
9015,11,2024-03-12 03:00:00,134934,USD,wire
9016,6,2024-03-15 19:00:00,139636,EUR,wire
9017,16,2024-01-05 11:00:00,128689,EUR,card
9018,16,2024-06-21 11:00:00,75410,EUR,wire
9019,2,2024-02-12 19:00:00,14973,JPY,card
9020,2,2024-04-26 13:00:00,40184,GBP,wire
9021,1,2024-03-27 20:00:00,128034,USD,ach
9022,27,2024-04-16 03:00:00,146349,JPY,card
9023,29,2024-03-14 23:00:00,92649,EUR,card
9024,26,2024-01-10 17:00:00,134347,USD,ach
9025,18,2024-05-18 00:00:00,94679,EUR,card
9026,6,2024-02-05 18:00:00,125578,JPY,card
9027,1,2024-02-17 11:00:00,124636,JPY,card
9028,10,2024-05-15 14:00:00,78553,USD,card
9029,20,2024-02-20 23:00:00,11683,GBP,wire
9030,24,2024-05-28 00:00:00,133919,JPY,ach
9031,27,2024-01-04 15:00:00,30788,GBP,ach
9032,24,2024-02-04 01:00:00,27108,GBP,wire
9033,9,2024-04-11 20:00:00,74883,EUR,wire
9034,15,2024-06-16 15:00:00,121145,JPY,card
9035,14,2024-02-03 19:00:00,142056,JPY,wire
9036,19,2024-03-21 19:00:00,81465,USD,ach
9037,15,2024-07-03 07:00:00,13144,GBP,card
9038,25,2024-01-09 00:00:00,148144,GBP,card
9039,27,2024-06-03 19:00:00,38083,USD,ach
9040,14,2024-05-06 22:00:00,127058,JPY,ach
9041,13,2024-01-25 23:00:00,65882,EUR,wire
9042,8,2024-05-24 00:00:00,35513,EUR,ach
9043,22,2024-04-18 07:00:00,9638,JPY,wire
9044,12,2024-03-02 09:00:00,71869,EUR,ach
9045,25,2024-02-13 06:00:00,97937,EUR,card
9046,21,2024-01-17 12:00:00,144428,JPY,wire
9047,14,2024-01-05 05:00:00,28864,EUR,card
9048,17,2024-02-19 10:00:00,35919,JPY,wire
9049,6,2024-03-26 00:00:00,34280,USD,ach
9050,8,2024-06-05 04:00:00,143540,GBP,wire
9051,28,2024-04-07 03:00:00,57398,EUR,ach
9052,14,2024-03-08 06:00:00,103156,GBP,card
9053,22,2024-04-14 18:00:00,93272,EUR,wire
9054,15,2024-04-14 06:00:00,21235,EUR,wire
9055,25,2024-05-04 11:00:00,13733,JPY,ach
9056,13,2024-05-29 11:00:00,40725,USD,wire
9057,7,2024-03-22 01:00:00,30185,USD,card
9058,11,2024-02-11 06:00:00,79806,JPY,ach
9059,3,2024-02-03 03:00:00,13064,JPY,wire
9060,28,2024-07-02 00:00:00,46286,JPY,card
9061,1,2024-06-01 03:00:00,127974,JPY,card
9062,20,2024-05-31 06:00:00,47810,JPY,card
9063,24,2024-01-18 19:00:00,83281,EUR,card
9064,26,2024-03-08 08:00:00,7719,GBP,ach
9065,21,2024-03-13 04:00:00,67979,JPY,wire
9066,21,2024-01-04 02:00:00,129625,GBP,wire
9067,25,2024-05-31 09:00:00,76645,EUR,ach
9068,9,2024-03-28 23:00:00,69277,JPY,card
9069,2,2024-02-16 06:00:00,78390,GBP,ach
9070,20,2024-05-13 05:00:00,63135,USD,wire
9071,2,2024-06-05 14:00:00,29721,USD,ach
9072,27,2024-02-20 08:00:00,66639,USD,card
9073,14,2024-03-21 03:00:00,117673,JPY,ach
9074,15,2024-06-16 21:00:00,84064,JPY,card
9075,21,2024-01-29 02:00:00,52969,JPY,ach
9076,11,2024-06-16 16:00:00,121734,EUR,wire
9077,18,2024-06-25 22:00:00,6206,EUR,card
